PERIODO,PESO_1,VALOR_1,NUM_OPERACIONES_1,PESO_2,VALOR_2,NUM_OPERACIONES_2,PESO_3,VALOR_3,NUM_OPERACIONES_3,PESO_4,VALOR_4,NUM_OPERACIONES_4,PESO_5,VALOR_5,NUM_OPERACIONES_5,PESO_6,VALOR_6,NUM_OPERACIONES_6,PESO_7,VALOR_7,NUM_OPERACIONES_7,PESO_8,VALOR_8,NUM_OPERACIONES_8,PESO_9,VALOR_9,NUM_OPERACIONES_9,PESO_10,VALOR_10,NUM_OPERACIONES_10,PESO_11,VALOR_11,NUM_OPERACIONES_11,PESO_12,VALOR_12,NUM_OPERACIONES_12,PESO_13,VALOR_13,NUM_OPERACIONES_13,PESO_14,VALOR_14,NUM_OPERACIONES_14,PESO_15,VALOR_15,NUM_OPERACIONES_15,PESO_16,VALOR_16,NUM_OPERACIONES_16,PESO_17,VALOR_17,NUM_OPERACIONES_17,PESO_18,VALOR_18,NUM_OPERACIONES_18,PESO_19,VALOR_19,NUM_OPERACIONES_19,PESO_20,VALOR_20,NUM_OPERACIONES_20,PESO_21,VALOR_21,NUM_OPERACIONES_21,PESO_22,VALOR_22,NUM_OPERACIONES_22,PESO_23,VALOR_23,NUM_OPERACIONES_23,tm_mes,w_med,p_mes,hr,e,w_racha_dir,w_racha_speed,PIB
Ene/14,0,0.0,0,20480,161590.43,17,1762044,7451234.36,1484,241076,307944.95,39,548,29738.11,7,82888,279151.61,73,4647664,2401921.78,140,4881769,3493162.98,109,356574,776344.18,22,96257627,18698534.38,17,105220,14937.01,3,52,17514.24,5,55,1937.5,2,0,0.0,0,14978,16269.87,2,19531,61603.0,6,67527376,31630566.92,47,66873,166793.11,85,62751,97386.64,43,143638,167085.94,28,6617,18661.05,21,1703954,6039811.45,152,14134259,5448839.55,36,13.2,20.0,130.3,76.0,120.0,25.0,27.5,315945.0
Feb/14,1617,15667.68,6,28357,209912.23,29,2766260,9851902.35,1366,187323,358730.54,42,1229,24001.95,8,63321,260493.1,67,4155779,1655281.35,100,2714580,2228275.82,81,230837,516820.13,19,1,14.68,1,1200,1964.74,1,4342,67108.58,9,0,0.0,0,96000,34545.25,2,33410,22052.3,4,11459,27278.9,4,71545714,25430680.81,38,22842,35024.61,66,50824,83255.82,32,65657,61181.16,16,33642,99011.74,26,1447727,4818733.47,171,17396917,6493372.31,48,12.7,20.0,57.0,72.0,113.0,24.0,26.4,315945.0
Mar/14,2168,20771.54,4,39998,236089.89,32,2333843,9376101.44,1498,444362,497602.91,45,1193,64545.32,11,46103,209256.66,68,3138319,1786331.34,134,5409042,4519699.45,150,500038,877979.94,22,9,54.46,1,1500,2455.92,1,3658415,1216508.93,12,27,368.83,3,47196,13546.11,2,7968736,5346583.84,9,12158,27816.32,4,36460907,13514168.19,44,32650,70692.53,105,107387,184541.36,40,94866,76562.04,24,67635,112439.46,23,1198703,2192913.45,128,4604033,1608188.47,42,14.3,24.0,136.6,83.25,118.0,9.0,26.1,315945.0
Abr/14,105,6388.48,2,116501,375152.33,35,3097984,10280540.18,1610,409998,421632.82,44,187,3185.68,9,88988,362817.79,73,1067706,893340.16,66,3577522,2954158.02,100,606667,840743.75,26,11645104,2300472.93,4,900,1473.55,1,3700784,1201124.38,10,0,0.0,0,3,4.46,1,9086104,6339648.34,7,28462,78150.24,10,81828,56390.43,49,34089,92977.87,111,55005,105226.86,60,92569,112647.58,30,44268,81833.83,34,1011141,1937532.81,197,9144806,3812957.3,48,16.6,22.0,50.9,77.0,151.0,8.0,21.1,297470.0
May/14,2062,41020.21,7,185644,504055.77,47,3963593,12011060.64,1717,685920,583072.45,44,29,428.45,8,42393,224233.91,83,2041205,1256485.08,82,4960589,3830322.81,131,503768,832230.37,25,7383238,1611292.72,7,319,578.18,3,6227038,2636220.25,11,44,1457.0,1,3,4.95,1,10538498,7634846.53,10,21786,50693.57,7,7768506,2218358.49,55,29195,88783.02,81,38643,92303.36,47,77189,108733.24,25,71291,112194.13,33,1276184,2685633.04,129,23505458,8669278.36,45,19.1,27.0,21.25,72.0,161.0,8.0,23.9,297470.0
Jun/14,587,22339.94,3,207717,462882.72,42,2522715,8805179.86,1846,189545,331653.58,51,573,53013.97,8,75529,313793.86,65,1185563,970033.02,78,3183716,2675640.2,95,693137,1192055.67,21,2,14.57,1,0,0.0,0,15208,38862.69,10,12,349.52,1,238800,62212.72,6,14479992,9918795.46,8,545455,280549.52,8,153259,59739.78,50,192723,126107.12,77,38531,101545.32,50,86355,104334.73,21,64676,128199.72,21,1204089,2265681.81,164,14367411,5347715.15,43,21.425,18.0,3.65,77.25,186.0,7.5,22.275,297470.0
Jul/14,6630,84238.84,14,69638,305748.28,47,4108531,13728493.98,1850,217618,312038.54,40,635,20140.22,7,78129,342811.55,73,522566,346785.12,22,3571043,3392353.26,108,298560,551420.14,15,40803815,8363619.76,4,10,44.9,1,62,10346.71,5,5,249.75,1,208281,67854.2,7,26829076,18269811.44,9,15272,34166.28,4,3502589,1086676.82,43,186357,71473.86,76,40679,95298.94,48,86338,128309.06,42,46668,82392.08,60,1414412,3423755.82,148,22741644,5640647.76,58,22.0,20.0,0.0,77.0,207.0,9.0,20.3,305414.0
Ago/14,1684,32908.79,3,130697,304393.69,32,2936590,13846248.63,1976,241065,339246.04,38,552,4619.08,9,215338,418859.15,71,483511,322318.33,22,2264675,2450201.44,92,415620,712998.23,22,96177410,19538233.34,11,5,22.0,1,8255646,3316566.41,12,0,0.0,0,25654,8353.69,3,13513859,8631309.52,8,57403,310213.91,9,4051446,1440573.35,45,34248,133720.14,74,51097,123634.86,53,132588,164203.62,24,83912,96442.52,24,524732,1571131.23,144,19675816,5985232.27,50,23.1,20.0,0.0,79.0,228.0,8.0,23.3,305414.0
Sep/14,101870,243845.94,6,185205,438761.73,45,2658460,14001819.78,2233,199440,305915.67,41,523,9102.11,7,160939,489253.85,65,3487390,1175157.28,21,2628656,2156032.91,96,458369,865520.8,20,11872186,2037276.2,7,0,0.0,0,6223419,1962342.34,13,0,0.0,0,416,4052.74,2,2014330,1277226.5,6,42629,136555.26,13,189935117,74329974.77,73,26368,88221.58,84,34069,77717.12,58,85543,110330.23,23,45050,86975.48,24,1808937,4576294.51,179,22107239,6199241.54,52,22.3,16.0,30.1,82.0,226.0,8.0,18.9,305414.0
Oct/14,17036,51126.03,2,255211,620608.23,42,2412506,11904027.88,1322,659723,595368.81,41,1029,48191.85,9,159034,587647.93,98,370727,288826.66,19,2915206,2144820.87,85,387928,686482.52,18,24813858,5072794.65,3,7,28.0,1,44481,216697.53,12,5,249.75,1,31,52.16,2,17819359,11187663.02,15,40055,103959.88,12,64838046,25827777.29,49,25554,83245.74,83,39921,90621.52,52,4485307,1219691.61,23,43689,85302.97,27,1298093,2117754.69,179,42131451,10058530.25,58,21.1,25.0,19.5,81.0,201.0,25.0,27.5,288049.0
