PERIODO,PESO_5,VALOR_13,w_med,PESO_15,PESO_20,PESO_13,VALOR_16,NUM_OPERACIONES_6,PESO_9,NUM_OPERACIONES_21,NUM_OPERACIONES_12,VALOR_22,VALOR_18,NUM_OPERACIONES_13,PESO_11,VALOR_11,VALOR_1,VALOR_21,VALOR_14,NUM_OPERACIONES_1,PESO_10,PESO_18,VALOR_9,PIB,NUM_OPERACIONES_14,w_racha_dir,PESO_14,hr,VALOR_8,PESO_3,PESO_4,NUM_OPERACIONES_11,NUM_OPERACIONES_17,VALOR_15,PESO_1,PESO_19,NUM_OPERACIONES_3,VALOR_19,w_racha_speed,VALOR_2,PESO_22,PESO_17,PESO_21,PESO_16,NUM_OPERACIONES_5,PESO_7,NUM_OPERACIONES_2,VALOR_4,NUM_OPERACIONES_8,PESO_6,VALOR_6,VALOR_3,NUM_OPERACIONES_15
Ene/14,548,1937.5,20.0,14978,143638,55,61603.0,73,356574,21,5,6039811.45,166793.11,2,105220,14937.01,0.0,18661.05,0.0,0,96257627,66873,776344.18,315945.0,0,25.0,0,76.0,3493162.98,1762044,241076,3,47,16269.87,0,62751,1484,97386.64,27.5,161590.43,1703954,67527376,6617,19531,7,4647664,17,307944.95,109,82888,279151.61,7451234.36,2
Feb/14,1229,0.0,20.0,33410,65657,0,27278.9,67,230837,26,9,4818733.47,35024.61,0,1200,1964.74,15667.68,99011.74,34545.25,6,1,22842,516820.13,315945.0,2,24.0,96000,72.0,2228275.82,2766260,187323,1,38,22052.3,1617,50824,1366,83255.82,26.4,209912.23,1447727,71545714,33642,11459,8,4155779,29,358730.54,81,63321,260493.1,9851902.35,4
Mar/14,1193,368.83,24.0,7968736,94866,27,27816.32,68,500038,23,12,2192913.45,70692.53,3,1500,2455.92,20771.54,112439.46,13546.11,4,9,32650,877979.94,315945.0,2,9.0,47196,83.25,4519699.45,2333843,444362,1,44,5346583.84,2168,107387,1498,184541.36,26.1,236089.89,1198703,36460907,67635,12158,11,3138319,32,497602.91,150,46103,209256.66,9376101.44,9
Abr/14,187,0.0,22.0,9086104,92569,0,78150.24,73,606667,34,10,1937532.81,92977.87,0,900,1473.55,6388.48,81833.83,4.46,2,11645104,34089,840743.75,297470.0,1,8.0,3,77.0,2954158.02,3097984,409998,1,49,6339648.34,105,55005,1610,105226.86,21.1,375152.33,1011141,81828,44268,28462,9,1067706,35,421632.82,100,88988,362817.79,10280540.18,7
May/14,29,1457.0,27.0,10538498,77189,44,50693.57,83,503768,33,11,2685633.04,88783.02,1,319,578.18,41020.21,112194.13,4.95,7,7383238,29195,832230.37,297470.0,1,8.0,3,72.0,3830322.81,3963593,685920,3,55,7634846.53,2062,38643,1717,92303.36,23.9,504055.77,1276184,7768506,71291,21786,8,2041205,47,583072.45,131,42393,224233.91,12011060.64,10
Jun/14,573,349.52,18.0,14479992,86355,12,280549.52,65,693137,21,10,2265681.81,126107.12,1,0,0.0,22339.94,128199.72,62212.72,3,2,192723,1192055.67,297470.0,6,7.5,238800,77.25,2675640.2,2522715,189545,0,50,9918795.46,587,38531,1846,101545.32,22.275,462882.72,1204089,153259,64676,545455,8,1185563,42,331653.58,95,75529,313793.86,8805179.86,8
Jul/14,635,249.75,20.0,26829076,86338,5,34166.28,73,298560,60,5,3423755.82,71473.86,1,10,44.9,84238.84,82392.08,67854.2,14,40803815,186357,551420.14,305414.0,7,9.0,208281,77.0,3392353.26,4108531,217618,1,43,18269811.44,6630,40679,1850,95298.94,20.3,305748.28,1414412,3502589,46668,15272,7,522566,47,312038.54,108,78129,342811.55,13728493.98,9
Ago/14,552,0.0,20.0,13513859,132588,0,310213.91,71,415620,24,12,1571131.23,133720.14,0,5,22.0,32908.79,96442.52,8353.69,3,96177410,34248,712998.23,305414.0,3,8.0,25654,79.0,2450201.44,2936590,241065,1,45,8631309.52,1684,51097,1976,123634.86,23.3,304393.69,524732,4051446,83912,57403,9,483511,32,339246.04,92,215338,418859.15,13846248.63,8
Sep/14,523,0.0,16.0,2014330,85543,0,136555.26,65,458369,24,13,4576294.51,88221.58,0,0,0.0,243845.94,86975.48,4052.74,6,11872186,26368,865520.8,305414.0,2,8.0,416,82.0,2156032.91,2658460,199440,0,73,1277226.5,101870,34069,2233,77717.12,18.9,438761.73,1808937,189935117,45050,42629,7,3487390,45,305915.67,96,160939,489253.85,14001819.78,6
Oct/14,1029,249.75,25.0,17819359,4485307,5,103959.88,98,387928,27,12,2117754.69,83245.74,1,7,28.0,51126.03,85302.97,52.16,2,24813858,25554,686482.52,288049.0,2,25.0,31,81.0,2144820.87,2412506,659723,1,49,11187663.02,17036,39921,1322,90621.52,27.5,620608.23,1298093,64838046,43689,40055,9,370727,42,595368.81,85,159034,587647.93,11904027.88,15
