PERIODO,PESO_5,VALOR_13,w_med,NUM_OPERACIONES_23,PESO_13,NUM_OPERACIONES_6,NUM_OPERACIONES_21,NUM_OPERACIONES_12,VALOR_22,NUM_OPERACIONES_13,NUM_OPERACIONES_10,NUM_OPERACIONES_7,NUM_OPERACIONES_18,PESO_12,VALOR_11,PESO_2,NUM_OPERACIONES_20,p_mes,VALOR_14,NUM_OPERACIONES_1,NUM_OPERACIONES_14,w_racha_dir,PESO_14,hr,NUM_OPERACIONES_17,NUM_OPERACIONES_22,NUM_OPERACIONES_11,VALOR_10,PESO_19,NUM_OPERACIONES_3,PESO_1,w_racha_speed,NUM_OPERACIONES_4,NUM_OPERACIONES_5,PESO_21,PESO_16,NUM_OPERACIONES_9,NUM_OPERACIONES_2,NUM_OPERACIONES_19,NUM_OPERACIONES_16,NUM_OPERACIONES_8,NUM_OPERACIONES_15
Ene/14,548,1937.5,20.0,36,55,73,21,5,6039811.45,2,17,140,85,52,14937.01,20480,28,130.3,0.0,0,0,25.0,0,76.0,47,152,3,18698534.38,62751,1484,0,27.5,39,7,6617,19531,22,17,43,6,109,2
Feb/14,1229,0.0,20.0,48,0,67,26,9,4818733.47,0,1,100,66,4342,1964.74,28357,16,57.0,34545.25,6,2,24.0,96000,72.0,38,171,1,14.68,50824,1366,1617,26.4,42,8,33642,11459,19,29,32,4,81,4
Mar/14,1193,368.83,24.0,42,27,68,23,12,2192913.45,3,1,134,105,3658415,2455.92,39998,24,136.6,13546.11,4,2,9.0,47196,83.25,44,128,1,54.46,107387,1498,2168,26.1,45,11,67635,12158,22,32,40,4,150,9
Abr/14,187,0.0,22.0,48,0,73,34,10,1937532.81,0,4,66,111,3700784,1473.55,116501,30,50.9,4.46,2,1,8.0,3,77.0,49,197,1,2300472.93,55005,1610,105,21.1,44,9,44268,28462,26,35,60,10,100,7
May/14,29,1457.0,27.0,45,44,83,33,11,2685633.04,1,7,82,81,6227038,578.18,185644,25,21.25,4.95,7,1,8.0,3,72.0,55,129,3,1611292.72,38643,1717,2062,23.9,44,8,71291,21786,25,47,47,7,131,10
Jun/14,573,349.52,18.0,43,12,65,21,10,2265681.81,1,1,78,77,15208,0.0,207717,21,3.65,62212.72,3,6,7.5,238800,77.25,50,164,0,14.57,38531,1846,587,22.275,51,8,64676,545455,21,42,50,8,95,8
Jul/14,635,249.75,20.0,58,5,73,60,5,3423755.82,1,4,22,76,62,44.9,69638,42,0.0,67854.2,14,7,9.0,208281,77.0,43,148,1,8363619.76,40679,1850,6630,20.3,40,7,46668,15272,15,47,48,4,108,9
Ago/14,552,0.0,20.0,50,0,71,24,12,1571131.23,0,11,22,74,8255646,22.0,130697,24,0.0,8353.69,3,3,8.0,25654,79.0,45,144,1,19538233.34,51097,1976,1684,23.3,38,9,83912,57403,22,32,53,9,92,8
Sep/14,523,0.0,16.0,52,0,65,24,13,4576294.51,0,7,21,84,6223419,0.0,185205,23,30.1,4052.74,6,2,8.0,416,82.0,73,179,0,2037276.2,34069,2233,101870,18.9,41,7,45050,42629,20,45,58,13,96,6
Oct/14,1029,249.75,25.0,58,5,98,27,12,2117754.69,1,3,19,83,44481,28.0,255211,23,19.5,52.16,2,2,25.0,31,81.0,49,179,1,5072794.65,39921,1322,17036,27.5,41,9,43689,40055,18,42,52,12,85,15
