PERIODO,PESO_5,VALOR_13,VALOR_12,PESO_20,PESO_13,VALOR_16,VALOR_7,PESO_9,NUM_OPERACIONES_21,VALOR_22,VALOR_5,VALOR_18,NUM_OPERACIONES_10,PESO_11,NUM_OPERACIONES_18,PESO_12,VALOR_11,PESO_2,NUM_OPERACIONES_20,VALOR_1,p_mes,VALOR_20,VALOR_14,VALOR_21,PESO_18,VALOR_9,NUM_OPERACIONES_8,NUM_OPERACIONES_14,PIB,w_racha_dir,PESO_14,PESO_3,PESO_4,NUM_OPERACIONES_11,NUM_OPERACIONES_17,PESO_19,PESO_1,NUM_OPERACIONES_3,VALOR_19,w_racha_speed,VALOR_2,PESO_22,NUM_OPERACIONES_4,VALOR_23,PESO_21,PESO_16,PESO_7,NUM_OPERACIONES_9,PESO_8,VALOR_4,NUM_OPERACIONES_2,NUM_OPERACIONES_19,NUM_OPERACIONES_16,NUM_OPERACIONES_6,PESO_6,VALOR_6,NUM_OPERACIONES_15
Ene/14,548,1937.5,17514.24,143638,55,61603.0,2401921.78,356574,21,6039811.45,29738.11,166793.11,17,105220,85,52,14937.01,20480,28,0.0,130.3,167085.94,0.0,18661.05,66873,776344.18,109,0,315945.0,25.0,0,1762044,241076,3,47,62751,0,1484,97386.64,27.5,161590.43,1703954,39,5448839.55,6617,19531,4647664,22,4881769,307944.95,17,43,6,73,82888,279151.61,2
Feb/14,1229,0.0,67108.58,65657,0,27278.9,1655281.35,230837,26,4818733.47,24001.95,35024.61,1,1200,66,4342,1964.74,28357,16,15667.68,57.0,61181.16,34545.25,99011.74,22842,516820.13,81,2,315945.0,24.0,96000,2766260,187323,1,38,50824,1617,1366,83255.82,26.4,209912.23,1447727,42,6493372.31,33642,11459,4155779,19,2714580,358730.54,29,32,4,67,63321,260493.1,4
Mar/14,1193,368.83,1216508.93,94866,27,27816.32,1786331.34,500038,23,2192913.45,64545.32,70692.53,1,1500,105,3658415,2455.92,39998,24,20771.54,136.6,76562.04,13546.11,112439.46,32650,877979.94,150,2,315945.0,9.0,47196,2333843,444362,1,44,107387,2168,1498,184541.36,26.1,236089.89,1198703,45,1608188.47,67635,12158,3138319,22,5409042,497602.91,32,40,4,68,46103,209256.66,9
Abr/14,187,0.0,1201124.38,92569,0,78150.24,893340.16,606667,34,1937532.81,3185.68,92977.87,4,900,111,3700784,1473.55,116501,30,6388.48,50.9,112647.58,4.46,81833.83,34089,840743.75,100,1,297470.0,8.0,3,3097984,409998,1,49,55005,105,1610,105226.86,21.1,375152.33,1011141,44,3812957.3,44268,28462,1067706,26,3577522,421632.82,35,60,10,73,88988,362817.79,7
May/14,29,1457.0,2636220.25,77189,44,50693.57,1256485.08,503768,33,2685633.04,428.45,88783.02,7,319,81,6227038,578.18,185644,25,41020.21,21.25,108733.24,4.95,112194.13,29195,832230.37,131,1,297470.0,8.0,3,3963593,685920,3,55,38643,2062,1717,92303.36,23.9,504055.77,1276184,44,8669278.36,71291,21786,2041205,25,4960589,583072.45,47,47,7,83,42393,224233.91,10
Jun/14,573,349.52,38862.69,86355,12,280549.52,970033.02,693137,21,2265681.81,53013.97,126107.12,1,0,77,15208,0.0,207717,21,22339.94,3.65,104334.73,62212.72,128199.72,192723,1192055.67,95,6,297470.0,7.5,238800,2522715,189545,0,50,38531,587,1846,101545.32,22.275,462882.72,1204089,51,5347715.15,64676,545455,1185563,21,3183716,331653.58,42,50,8,65,75529,313793.86,8
Jul/14,635,249.75,10346.71,86338,5,34166.28,346785.12,298560,60,3423755.82,20140.22,71473.86,4,10,76,62,44.9,69638,42,84238.84,0.0,128309.06,67854.2,82392.08,186357,551420.14,108,7,305414.0,9.0,208281,4108531,217618,1,43,40679,6630,1850,95298.94,20.3,305748.28,1414412,40,5640647.76,46668,15272,522566,15,3571043,312038.54,47,48,4,73,78129,342811.55,9
Ago/14,552,0.0,3316566.41,132588,0,310213.91,322318.33,415620,24,1571131.23,4619.08,133720.14,11,5,74,8255646,22.0,130697,24,32908.79,0.0,164203.62,8353.69,96442.52,34248,712998.23,92,3,305414.0,8.0,25654,2936590,241065,1,45,51097,1684,1976,123634.86,23.3,304393.69,524732,38,5985232.27,83912,57403,483511,22,2264675,339246.04,32,53,9,71,215338,418859.15,8
Sep/14,523,0.0,1962342.34,85543,0,136555.26,1175157.28,458369,24,4576294.51,9102.11,88221.58,7,0,84,6223419,0.0,185205,23,243845.94,30.1,110330.23,4052.74,86975.48,26368,865520.8,96,2,305414.0,8.0,416,2658460,199440,0,73,34069,101870,2233,77717.12,18.9,438761.73,1808937,41,6199241.54,45050,42629,3487390,20,2628656,305915.67,45,58,13,65,160939,489253.85,6
Oct/14,1029,249.75,216697.53,4485307,5,103959.88,288826.66,387928,27,2117754.69,48191.85,83245.74,3,7,83,44481,28.0,255211,23,51126.03,19.5,1219691.61,52.16,85302.97,25554,686482.52,85,2,288049.0,25.0,31,2412506,659723,1,49,39921,17036,1322,90621.52,27.5,620608.23,1298093,41,10058530.25,43689,40055,370727,18,2915206,595368.81,42,52,12,98,159034,587647.93,15
