@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R39,73,113,116,149,152-153,193,220,229,237,240,255,279,282,291,304,311,317,326,332,345,359,362,365,371,374,379-380,424,451,471,513,516,533,568-569,573,590,593,614,631,634,655,661,682,717,726,732,756,768,773,779,782,785,788,794,800,803,846,856,865,883-884,925'

@attribute NUM_OPERACIONES_13_lag11 numeric
@attribute hr_lag11 numeric
@attribute NUM_OPERACIONES_12_lag10 numeric
@attribute NUM_OPERACIONES_13_lag10 numeric
@attribute p_mes_lag10 numeric
@attribute w_racha_dir_lag10 numeric
@attribute w_racha_speed_lag10 numeric
@attribute NUM_OPERACIONES_13_lag9 numeric
@attribute NUM_OPERACIONES_22_lag9 numeric
@attribute w_racha_dir_lag9 numeric
@attribute NUM_OPERACIONES_2_lag8 numeric
@attribute NUM_OPERACIONES_3_lag8 numeric
@attribute NUM_OPERACIONES_8_lag8 numeric
@attribute NUM_OPERACIONES_16_lag8 numeric
@attribute NUM_OPERACIONES_17_lag8 numeric
@attribute NUM_OPERACIONES_20_lag8 numeric
@attribute hr_lag8 numeric
@attribute NUM_OPERACIONES_1_lag7 numeric
@attribute NUM_OPERACIONES_3_lag7 numeric
@attribute NUM_OPERACIONES_6_lag7 numeric
@attribute NUM_OPERACIONES_8_lag7 numeric
@attribute PESO_13_lag7 numeric
@attribute NUM_OPERACIONES_17_lag7 numeric
@attribute NUM_OPERACIONES_18_lag7 numeric
@attribute NUM_OPERACIONES_19_lag7 numeric
@attribute NUM_OPERACIONES_21_lag7 numeric
@attribute NUM_OPERACIONES_22_lag7 numeric
@attribute w_med_lag7 numeric
@attribute p_mes_lag7 numeric
@attribute NUM_OPERACIONES_13_lag6 numeric
@attribute NUM_OPERACIONES_22_lag6 numeric
@attribute NUM_OPERACIONES_3_lag5 numeric
@attribute NUM_OPERACIONES_17_lag5 numeric
@attribute NUM_OPERACIONES_18_lag5 numeric
@attribute w_med_lag5 numeric
@attribute VALOR_10_lag4 numeric
@attribute NUM_OPERACIONES_10_lag4 numeric
@attribute PESO_12_lag4 numeric
@attribute NUM_OPERACIONES_17_lag4 numeric
@attribute NUM_OPERACIONES_18_lag4 numeric
@attribute w_racha_dir_lag4 numeric
@attribute NUM_OPERACIONES_5_lag3 numeric
@attribute NUM_OPERACIONES_6_lag3 numeric
@attribute NUM_OPERACIONES_13_lag3 numeric
@attribute NUM_OPERACIONES_15_lag3 numeric
@attribute NUM_OPERACIONES_22_lag3 numeric
@attribute NUM_OPERACIONES_8_lag2 numeric
@attribute NUM_OPERACIONES_11_lag2 numeric
@attribute NUM_OPERACIONES_13_lag2 numeric
@attribute NUM_OPERACIONES_21_lag2 numeric
@attribute w_racha_dir_lag2 numeric
@attribute NUM_OPERACIONES_1_lag1 numeric
@attribute NUM_OPERACIONES_3_lag1 numeric
@attribute NUM_OPERACIONES_4_lag1 numeric
@attribute NUM_OPERACIONES_5_lag1 numeric
@attribute NUM_OPERACIONES_6_lag1 numeric
@attribute NUM_OPERACIONES_8_lag1 numeric
@attribute NUM_OPERACIONES_10_lag1 numeric
@attribute NUM_OPERACIONES_11_lag1 numeric
@attribute w_racha_speed_lag1 numeric
@attribute NUM_OPERACIONES_3_lag0 numeric
@attribute NUM_OPERACIONES_6_lag0 numeric
@attribute NUM_OPERACIONES_12_lag0 numeric
@attribute PESO_13_lag0 numeric
@attribute PESO_20_ahead1 numeric

@data
2,76,9,0,57,24,26.4,3,128,9,35,1610,100,10,49,30,77,7,1717,83,131,44,55,81,47,33,129,27,21.25,1,164,1850,43,76,20,19538233.34,11,8255646,45,74,8,7,65,0,6,179,85,1,1,27,25,2,1506,40,12,90,80,6,2,25.6,1646,81,15,0,80829
0,72,12,3,136.6,9,26.1,0,197,8,47,1717,131,7,55,25,72,3,1846,65,95,12,50,77,50,21,164,18,3.65,1,148,1976,45,74,20,2037276.2,7,6223419,73,84,8,9,98,1,15,179,80,2,2,26,24,0,1646,35,14,81,110,10,2,20.3,1180,47,14,6008,71119
3,83.25,10,0,50.9,8,21.1,1,129,8,42,1846,95,8,50,21,77.25,14,1850,73,108,5,43,76,48,60,148,20,0,0,144,2233,73,84,16,5072794.65,3,44481,49,83,25,12,90,2,5,136,110,2,0,21,7,3,1180,36,14,47,85,14,0,21.7,1344,67,11,0,99205
0,77,11,1,21.25,8,23.9,1,164,7.5,47,1850,108,4,43,42,77,3,1976,71,92,0,45,74,53,24,144,20,0,0,179,1322,49,83,25,6269269.79,6,12860812,44,67,24,14,81,0,5,188,85,0,2,36,26,0,1344,41,12,67,115,8,1,22.8,1719,71,12,0,65707
1,72,10,1,3.65,7.5,22.275,1,148,9,32,1976,92,9,45,24,79,6,2233,65,96,0,73,84,58,24,179,16,30.1,1,179,1506,44,67,18,18072591.34,10,256787,69,88,7,14,47,2,6,131,115,1,0,35,8,1,1719,33,17,71,108,18,3,25.3,1840,50,12,0,75700
1,77.25,5,1,0,9,20.3,0,144,8,45,2233,96,13,73,23,82,2,1322,98,85,5,49,83,52,27,179,25,19.5,2,136,1646,69,88,18,6727873.45,14,4819602,59,77,26,12,67,0,8,146,108,3,0,45,9,1,1840,174,17,50,107,17,17,26.4,1711,88,12,400,120337
1,77,12,0,0,8,23.3,0,179,8,42,1322,85,12,49,23,81,2,1506,90,80,24,44,67,36,26,136,18,109.633333,0,188,1180,59,77,21,6564794.05,8,5546,52,64,8,17,71,0,12,121,107,17,0,121,7,4,1711,156,11,88,113,15,10,21.7,2016,66,12,200,77365
0,79,13,0,30.1,8,18.9,1,179,25,31,1506,80,7,44,20,81.666667,0,1646,81,110,0,69,88,49,21,188,18,45,2,131,1344,52,64,22,7679623.37,18,72285,58,68,9,17,50,0,25,163,113,10,1,167,8,3,2016,145,20,66,85,17,13,22.2,1720,70,20,10,73581
0,82,12,1,19.5,25,27.5,2,136,24,52,1646,110,6,69,19,80,3,1180,47,85,6008,59,77,46,36,131,21,40.8,0,146,1719,58,68,20,12183970.75,17,29643,84,131,7,11,88,1,15,192,85,13,1,176,7,0,1720,177,17,70,96,14,9,22.5,2123,45,16,230,68049
1,81,11,2,109.633333,24,25.6,0,188,7,35,1180,85,4,59,25,83,0,1344,67,115,0,52,64,48,35,146,22,35.5,0,121,1840,84,131,25,4690826.38,15,75956,78,109,8,20,66,1,24,173,96,9,1,188,6,0,2123,167,15,45,76,46,10,21.9,1511,96,11,0,79264
2,81.666667,15,0,45,7,20.3,2,131,26,28,1344,115,11,52,19,81,1,1719,71,108,0,58,68,49,45,121,20,169.2,0,163,1711,78,109,26,1121074.3,17,64713,99,115,7,17,70,1,17,191,76,10,2,188,8,1,1511,153,16,96,86,16,13,19.4,1690,89,15,0,54417
