@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R3,9,39,75,95,101,104,116,143,150,163,190,193,205,208,220,226,270,282,297,303,306,314,317,320,332,356,362,365,381,384,388,422,451,456-458,471,501,516,528,531,548,575,590,593,610,625,628,634,637,646,650,667,688,691,708,711,714,732,735,738,759,794,809,833,841,843,845-846,850,856,859,865,871,880,889,892,895,923,926'

@attribute NUM_OPERACIONES_1_lag11 numeric
@attribute NUM_OPERACIONES_3_lag11 numeric
@attribute NUM_OPERACIONES_13_lag11 numeric
@attribute w_racha_dir_lag11 numeric
@attribute NUM_OPERACIONES_6_lag10 numeric
@attribute NUM_OPERACIONES_8_lag10 numeric
@attribute NUM_OPERACIONES_9_lag10 numeric
@attribute NUM_OPERACIONES_13_lag10 numeric
@attribute NUM_OPERACIONES_22_lag10 numeric
@attribute hr_lag10 numeric
@attribute NUM_OPERACIONES_3_lag9 numeric
@attribute NUM_OPERACIONES_12_lag9 numeric
@attribute NUM_OPERACIONES_13_lag9 numeric
@attribute NUM_OPERACIONES_17_lag9 numeric
@attribute NUM_OPERACIONES_18_lag9 numeric
@attribute NUM_OPERACIONES_22_lag9 numeric
@attribute p_mes_lag9 numeric
@attribute NUM_OPERACIONES_13_lag8 numeric
@attribute NUM_OPERACIONES_17_lag8 numeric
@attribute NUM_OPERACIONES_22_lag8 numeric
@attribute p_mes_lag8 numeric
@attribute w_racha_dir_lag8 numeric
@attribute NUM_OPERACIONES_2_lag7 numeric
@attribute NUM_OPERACIONES_3_lag7 numeric
@attribute NUM_OPERACIONES_4_lag7 numeric
@attribute NUM_OPERACIONES_8_lag7 numeric
@attribute NUM_OPERACIONES_16_lag7 numeric
@attribute NUM_OPERACIONES_18_lag7 numeric
@attribute NUM_OPERACIONES_19_lag7 numeric
@attribute hr_lag7 numeric
@attribute w_racha_speed_lag7 numeric
@attribute NUM_OPERACIONES_1_lag6 numeric
@attribute PESO_13_lag6 numeric
@attribute NUM_OPERACIONES_22_lag6 numeric
@attribute w_med_lag6 numeric
@attribute p_mes_lag6 numeric
@attribute hr_lag6 numeric
@attribute NUM_OPERACIONES_3_lag5 numeric
@attribute NUM_OPERACIONES_13_lag5 numeric
@attribute NUM_OPERACIONES_18_lag5 numeric
@attribute NUM_OPERACIONES_22_lag5 numeric
@attribute NUM_OPERACIONES_23_lag5 numeric
@attribute NUM_OPERACIONES_3_lag4 numeric
@attribute NUM_OPERACIONES_12_lag4 numeric
@attribute NUM_OPERACIONES_17_lag4 numeric
@attribute NUM_OPERACIONES_18_lag4 numeric
@attribute w_med_lag4 numeric
@attribute NUM_OPERACIONES_3_lag3 numeric
@attribute NUM_OPERACIONES_4_lag3 numeric
@attribute NUM_OPERACIONES_6_lag3 numeric
@attribute NUM_OPERACIONES_7_lag3 numeric
@attribute NUM_OPERACIONES_10_lag3 numeric
@attribute PESO_12_lag3 numeric
@attribute NUM_OPERACIONES_17_lag3 numeric
@attribute p_mes_lag3 numeric
@attribute w_racha_dir_lag3 numeric
@attribute NUM_OPERACIONES_5_lag2 numeric
@attribute NUM_OPERACIONES_6_lag2 numeric
@attribute NUM_OPERACIONES_7_lag2 numeric
@attribute NUM_OPERACIONES_13_lag2 numeric
@attribute NUM_OPERACIONES_14_lag2 numeric
@attribute NUM_OPERACIONES_15_lag2 numeric
@attribute NUM_OPERACIONES_22_lag2 numeric
@attribute NUM_OPERACIONES_8_lag1 numeric
@attribute NUM_OPERACIONES_13_lag1 numeric
@attribute NUM_OPERACIONES_21_lag1 numeric
@attribute w_med_lag1 numeric
@attribute hr_lag1 numeric
@attribute w_racha_dir_lag1 numeric
@attribute w_racha_speed_lag1 numeric
@attribute NUM_OPERACIONES_1_lag0 numeric
@attribute NUM_OPERACIONES_3_lag0 numeric
@attribute NUM_OPERACIONES_4_lag0 numeric
@attribute NUM_OPERACIONES_6_lag0 numeric
@attribute NUM_OPERACIONES_8_lag0 numeric
@attribute NUM_OPERACIONES_11_lag0 numeric
@attribute NUM_OPERACIONES_14_lag0 numeric
@attribute NUM_OPERACIONES_15_lag0 numeric
@attribute NUM_OPERACIONES_16_lag0 numeric
@attribute w_racha_speed_lag0 numeric
@attribute PESO_20_ahead2 numeric

@data
0,1484,2,25,67,81,19,0,171,72,1498,12,3,44,105,128,136.6,0,49,197,50.9,8,47,1717,44,131,7,81,47,72,23.9,3,12,164,18,3.65,77.25,1850,1,76,148,58,1976,12,45,74,20,2233,41,65,21,7,6223419,73,30.1,8,9,98,19,1,2,15,179,80,2,26,18,81.666667,24,25.6,0,1646,35,81,110,2,0,5,6,20.3,71119
6,1366,0,24,68,150,22,3,128,83.25,1610,10,0,49,111,197,50.9,1,55,129,21.25,8,42,1846,51,95,8,77,50,77.25,22.275,14,5,148,20,0,77,1976,0,74,144,50,2233,13,73,84,16,1322,41,98,19,3,44481,49,19.5,25,12,90,68,2,0,5,136,110,0,21,18,80,7,20.3,3,1180,36,47,85,0,0,6,4,21.7,99205
4,1498,3,9,73,100,26,0,197,77,1717,11,1,55,81,129,21.25,1,50,164,3.65,7.5,47,1850,40,108,4,76,48,77,20.3,3,0,144,20,0,79,2233,0,84,179,52,1322,12,49,83,25,1506,40,90,68,6,12860812,44,109.633333,24,14,81,98,0,0,5,188,85,2,36,21,83,26,21.7,0,1344,41,67,115,1,0,8,11,22.8,65707
2,1610,0,8,83,131,25,1,129,72,1846,10,1,50,77,164,3.65,1,43,148,0,9,32,1976,38,92,9,74,53,79,23.3,6,0,179,16,30.1,82,1322,1,83,179,58,1506,11,44,67,18,1646,35,81,98,10,256787,69,45,7,14,47,96,2,0,6,131,115,0,35,22,81,8,22.8,1,1719,33,71,108,3,1,12,5,25.3,75700
7,1717,1,8,65,95,21,1,164,77.25,1850,5,1,43,76,148,0,0,45,144,0,8,45,2233,41,96,13,84,58,82,18.9,2,5,179,25,19.5,81,1506,2,67,136,59,1646,15,69,88,18,1180,36,47,96,14,4819602,59,40.8,26,12,67,83,0,0,8,146,108,0,45,20,84,9,25.3,1,1840,174,50,107,17,3,25,123,26.4,120337
3,1846,1,7.5,73,108,15,1,148,77,1976,12,0,45,74,144,0,0,73,179,30.1,8,42,1322,41,85,12,83,52,81,27.5,2,24,136,18,109.633333,81.666667,1646,0,88,188,63,1180,14,59,77,21,1344,41,67,83,8,5546,52,35.5,8,17,71,102,0,1,12,121,107,0,121,25,85.666667,7,26.4,4,1711,156,88,113,10,3,15,119,21.7,77365
14,1850,1,9,71,92,22,0,144,79,2233,13,0,73,84,179,30.1,1,49,179,19.5,25,31,1506,40,80,7,67,36,81.666667,25.6,0,0,188,18,45,80,1180,2,77,131,57,1344,11,52,64,22,1719,33,71,102,18,72285,58,169.2,9,17,50,111,0,3,25,163,113,1,167,26,78,8,21.7,3,2016,145,66,85,13,0,24,102,22.2,73581
3,1976,0,8,65,96,20,0,179,82,1322,12,1,49,83,179,19.5,2,44,136,109.633333,24,52,1646,35,110,6,88,49,80,20.3,3,6008,131,21,40.8,83,1344,0,64,146,63,1719,12,58,68,20,1840,174,50,111,17,29643,84,14,7,11,88,147,1,3,15,192,85,1,176,26,79,7,22.2,0,1720,177,70,96,9,1,17,107,22.5,68049
6,2233,0,8,98,85,18,1,179,81,1506,11,2,44,67,136,109.633333,0,69,188,45,7,35,1180,36,85,4,77,46,83,21.7,0,0,146,22,35.5,81,1719,0,68,121,70,1840,12,84,131,25,1711,156,88,147,15,75956,78,6,8,20,66,85,1,0,24,173,96,1,188,20,81,6,22.5,0,2123,167,45,76,10,6,18,100,21.9,79264
2,1322,1,25,90,80,20,2,136,81.666667,1646,15,0,69,88,188,45,2,59,131,40.8,26,28,1344,41,115,11,64,48,81,22.8,1,0,121,20,169.2,84,1840,0,131,163,91,1711,12,78,109,26,2016,145,66,85,17,64713,99,12.5,7,17,70,56,1,1,17,191,76,2,188,21,83,8,21.9,1,1511,153,96,86,13,17,20,98,19.4,54417
2,1506,2,24,81,110,13,0,188,80,1180,14,2,59,77,131,40.8,0,52,146,35.5,8,59,1719,33,108,5,68,49,84,25.3,1,0,163,25,14,85.666667,1711,1,109,192,96,2016,12,99,115,26,1720,177,70,56,14,20001427,95,0,6,15,45,46,2,6,18,170,86,0,152,18,82,9,19.4,1,1690,154,89,103,12,5,14,97,16.9,56687
