@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R24,55,142,193,215,244,267,272,383,423,458,466,499,528,534,540,594,670,723,727,744,759,765,785,807,836,893,927'

@attribute NUM_OPERACIONES_8_lag11 numeric
@attribute PESO_19_lag11 numeric
@attribute VALOR_22_lag10 numeric
@attribute NUM_OPERACIONES_13_lag9 numeric
@attribute PESO_21_lag9 numeric
@attribute PESO_5_lag8 numeric
@attribute NUM_OPERACIONES_12_lag8 numeric
@attribute VALOR_14_lag8 numeric
@attribute w_racha_dir_lag7 numeric
@attribute VALOR_13_lag6 numeric
@attribute hr_lag6 numeric
@attribute PESO_2_lag5 numeric
@attribute PESO_13_lag5 numeric
@attribute NUM_OPERACIONES_22_lag5 numeric
@attribute p_mes_lag5 numeric
@attribute PESO_1_lag4 numeric
@attribute PESO_19_lag4 numeric
@attribute NUM_OPERACIONES_18_lag3 numeric
@attribute NUM_OPERACIONES_10_lag2 numeric
@attribute PESO_12_lag2 numeric
@attribute NUM_OPERACIONES_17_lag2 numeric
@attribute NUM_OPERACIONES_22_lag2 numeric
@attribute p_mes_lag2 numeric
@attribute NUM_OPERACIONES_5_lag1 numeric
@attribute PESO_13_lag1 numeric
@attribute NUM_OPERACIONES_22_lag1 numeric
@attribute PESO_16_lag0 numeric
@attribute PESO_20_ahead3 numeric

@data
109,62751,4818733.47,3,67635,187,10,4.46,8,349.52,77.25,69638,5,148,0,1684,51097,84,3,44481,49,179,19.5,12,24,136,30769,99205
81,50824,2192913.45,0,44268,29,11,4.95,7.5,249.75,77,130697,0,144,0,101870,34069,83,6,12860812,44,136,109.633333,14,0,188,24371,65707
150,107387,1937532.81,1,71291,573,10,62212.72,9,0,79,185205,0,179,30.1,17036,39921,67,10,256787,69,188,45,14,6008,131,15465,75700
100,55005,2685633.04,1,64676,635,5,67854.2,8,0,82,255211,5,179,19.5,17001,41580,88,14,4819602,59,131,40.8,12,0,146,44547,120337
131,38643,2265681.81,1,46668,552,12,8353.69,8,249.75,81,110813,24,136,109.633333,0,34849,77,8,5546,52,146,35.5,17,0,121,19603,77365
95,38531,3423755.82,0,83912,523,13,4052.74,25,975.22,81.666667,135941,0,188,45,2000,41417,64,18,72285,58,121,169.2,17,0,163,27337,73581
108,40679,1571131.23,0,45050,1029,12,52.16,24,0,80,102450,6008,131,40.8,0,29614,68,17,29643,84,163,14,11,400,192,35122,68049
92,51097,4576294.51,1,43689,19371,11,0,7,35331.62,83,74962,0,146,35.5,2700,48652,131,15,75956,78,192,6,20,200,173,27450,79264
96,34069,2117754.69,2,69527,552,15,0,26,0,81,252929,0,121,169.2,2000,41543,109,17,64713,99,173,12.5,17,10,191,26011,54417
85,39921,2756566.53,0,65717,43505,14,0,8,0,84,94778,0,163,14,39953,45951,115,14,20001427,95,191,0,15,230,170,12539,56687
80,41580,4482450.64,2,27101,1107,11,0,9,0,85.666667,316817,400,192,6,529,736324,89,46,20694062,100,170,0.3,16,0,163,40215,202896
110,34849,1582670.81,0,44199,22510,12,74.75,7,4724,78,132242,200,173,12.5,0,75157,104,16,6743345,79,163,2.2,12,0,142,124598,63012
85,41417,1496773.47,0,50004,551,12,100.56,8,17808.96,79,43902,10,191,0,0,84152,104,17,4302,84,142,89.2,15,200,144,29346,67633
115,29614,1361495.97,0,47244,1248,12,165.76,7,499.5,81,36142,230,170,0.3,16000,76713,116,22,31816,86,144,21.7,19,58080,226,62573,115242
108,48652,1741482.85,1,22980,826,12,0,6,2386.59,83,509949,0,163,2.2,1,40073,121,27,34000,135,226,0,17,0,140,23903,74603
107,41543,1454869.45,1,52798,159,20,16.02,8,0,82,51938,0,142,89.2,18054,54477,154,28,8801628,84,140,48.8,14,450,127,42078,63525
113,45951,2794516.46,1,67954,257,16,62650.69,9,0,80,18889,200,144,21.7,838,67090,104,25,12027661,79,127,77.1,18,0,163,68354,71970
85,736324,4323053.04,2,28242,126,11,143797.92,8,17450.54,82,610033,58080,226,0,40,90141,110,33,25268862,121,163,42,22,0,180,38850,294832
96,75157,1729342.32,0,44707,55,15,23580.51,10,6196.08,82,591995,0,140,48.8,0,31388,119,21,4902846,91,180,60.9,11,1,198,26170,83238
76,84152,2848835.22,0,25208,22231,13,57,8,0,78,28949,450,127,77.1,1,35183,114,18,3000096,107,198,49.3,10,50,172,61299,67877
86,76713,3017653.67,1,27901,294,16,13872.47,10,15984.83,77,436292,0,163,42,1505,90445,135,26,1101100,93,172,0.6,15,64,191,78128,77855
103,40073,1624696.69,1,130863,89,20,0,24,7.25,79,28780,0,180,60.9,3189,68522,102,19,66,96,191,1.1,17,6,198,33613,71023
103,54477,1982389.16,0,19664,469,19,46,26,0,82,47020,1,198,49.3,22455,34512,104,20,18153,116,198,0.1,15,476,171,71996,68412
