@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R24,61,101,118,132,219,292,321,344,349,500,543,576,605,617,654,671,747,800,804,913,928'

@attribute NUM_OPERACIONES_8_lag11 numeric
@attribute PESO_21_lag11 numeric
@attribute NUM_OPERACIONES_8_lag10 numeric
@attribute VALOR_14_lag10 numeric
@attribute PESO_19_lag10 numeric
@attribute VALOR_22_lag9 numeric
@attribute PESO_21_lag8 numeric
@attribute PESO_5_lag7 numeric
@attribute NUM_OPERACIONES_12_lag7 numeric
@attribute VALOR_14_lag7 numeric
@attribute VALOR_13_lag5 numeric
@attribute PESO_2_lag4 numeric
@attribute PESO_13_lag4 numeric
@attribute NUM_OPERACIONES_22_lag4 numeric
@attribute PESO_1_lag3 numeric
@attribute VALOR_13_lag3 numeric
@attribute PESO_19_lag3 numeric
@attribute NUM_OPERACIONES_18_lag2 numeric
@attribute NUM_OPERACIONES_10_lag1 numeric
@attribute PESO_12_lag1 numeric
@attribute NUM_OPERACIONES_22_lag0 numeric
@attribute PESO_20_ahead4 numeric

@data
109,6617,81,34545.25,50824,2192913.45,44268,29,11,4.95,249.75,130697,0,144,101870,0,34069,83,6,12860812,188,65707
81,33642,150,13546.11,107387,1937532.81,71291,573,10,62212.72,0,185205,0,179,17036,249.75,39921,67,10,256787,131,75700
150,67635,100,4.46,55005,2685633.04,64676,635,5,67854.2,0,255211,5,179,17001,975.22,41580,88,14,4819602,146,120337
100,44268,131,4.95,38643,2265681.81,46668,552,12,8353.69,249.75,110813,24,136,0,0,34849,77,8,5546,121,77365
131,71291,95,62212.72,38531,3423755.82,83912,523,13,4052.74,975.22,135941,0,188,2000,35331.62,41417,64,18,72285,163,73581
95,64676,108,67854.2,40679,1571131.23,45050,1029,12,52.16,0,102450,6008,131,0,0,29614,68,17,29643,192,68049
108,46668,92,8353.69,51097,4576294.51,43689,19371,11,0,35331.62,74962,0,146,2700,0,48652,131,15,75956,173,79264
92,83912,96,4052.74,34069,2117754.69,69527,552,15,0,0,252929,0,121,2000,0,41543,109,17,64713,191,54417
96,45050,85,52.16,39921,2756566.53,65717,43505,14,0,0,94778,0,163,39953,4724,45951,115,14,20001427,170,56687
85,43689,80,0,41580,4482450.64,27101,1107,11,0,0,316817,400,192,529,17808.96,736324,89,46,20694062,163,202896
80,69527,110,0,34849,1582670.81,44199,22510,12,74.75,4724,132242,200,173,0,499.5,75157,104,16,6743345,142,63012
110,65717,85,0,41417,1496773.47,50004,551,12,100.56,17808.96,43902,10,191,0,2386.59,84152,104,17,4302,144,67633
85,27101,115,0,29614,1361495.97,47244,1248,12,165.76,499.5,36142,230,170,16000,0,76713,116,22,31816,226,115242
115,44199,108,74.75,48652,1741482.85,22980,826,12,0,2386.59,509949,0,163,1,0,40073,121,27,34000,140,74603
108,50004,107,100.56,41543,1454869.45,52798,159,20,16.02,0,51938,0,142,18054,17450.54,54477,154,28,8801628,127,63525
107,47244,113,165.76,45951,2794516.46,67954,257,16,62650.69,0,18889,200,144,838,6196.08,67090,104,25,12027661,163,71970
113,22980,85,0,736324,4323053.04,28242,126,11,143797.92,17450.54,610033,58080,226,40,0,90141,110,33,25268862,180,294832
85,52798,96,16.02,75157,1729342.32,44707,55,15,23580.51,6196.08,591995,0,140,0,15984.83,31388,119,21,4902846,198,83238
96,67954,76,62650.69,84152,2848835.22,25208,22231,13,57,0,28949,450,127,1,7.25,35183,114,18,3000096,172,67877
76,28242,86,143797.92,76713,3017653.67,27901,294,16,13872.47,15984.83,436292,0,163,1505,0,90445,135,26,1101100,191,77855
86,44707,103,23580.51,40073,1624696.69,130863,89,20,0,7.25,28780,0,180,3189,81.73,68522,102,19,66,198,71023
103,25208,103,57,54477,1982389.16,19664,469,19,46,0,47020,1,198,22455,987.68,34512,104,20,18153,171,68412
103,27901,165,13872.47,67090,957026.72,33979,7173,21,2654.65,81.73,953779,50,172,0,1505.98,44204,146,22,46874,157,73569
165,130863,135,0,90141,1344234.21,37689,344,29,318.17,987.68,38260,64,191,0,649.28,34298,124,23,2449,156,62094
135,19664,115,46,31388,1293451.97,83412,49,21,10176.34,1505.98,58372,6,198,38,21505.56,46690,108,20,4583847,159,58747
