@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R101,138,178,209,296,398,421,426,457,528,577,653,679,682,688,694,731,748,859,877,881,898,910,929'

@attribute NUM_OPERACIONES_8_lag10 numeric
@attribute PESO_21_lag10 numeric
@attribute NUM_OPERACIONES_8_lag9 numeric
@attribute PESO_19_lag9 numeric
@attribute VALOR_22_lag8 numeric
@attribute PESO_5_lag6 numeric
@attribute NUM_OPERACIONES_12_lag6 numeric
@attribute VALOR_14_lag6 numeric
@attribute p_mes_lag6 numeric
@attribute NUM_OPERACIONES_22_lag5 numeric
@attribute VALOR_13_lag4 numeric
@attribute PESO_13_lag3 numeric
@attribute NUM_OPERACIONES_21_lag3 numeric
@attribute NUM_OPERACIONES_22_lag3 numeric
@attribute p_mes_lag3 numeric
@attribute PESO_1_lag2 numeric
@attribute VALOR_13_lag2 numeric
@attribute PESO_19_lag2 numeric
@attribute NUM_OPERACIONES_4_lag0 numeric
@attribute NUM_OPERACIONES_10_lag0 numeric
@attribute PESO_12_lag0 numeric
@attribute NUM_OPERACIONES_17_lag0 numeric
@attribute NUM_OPERACIONES_21_lag0 numeric
@attribute PESO_20_ahead5 numeric

@data
81,33642,150,107387,1937532.81,573,10,62212.72,3.65,148,0,0,24,179,30.1,17036,249.75,39921,35,10,256787,69,21,75700
150,67635,100,55005,2685633.04,635,5,67854.2,0,144,0,5,27,179,19.5,17001,975.22,41580,36,14,4819602,59,36,120337
100,44268,131,38643,2265681.81,552,12,8353.69,0,179,249.75,24,26,136,109.633333,0,0,34849,41,8,5546,52,35,77365
131,71291,95,38531,3423755.82,523,13,4052.74,30.1,179,975.22,0,21,188,45,2000,35331.62,41417,33,18,72285,58,45,73581
95,64676,108,40679,1571131.23,1029,12,52.16,19.5,136,0,6008,36,131,40.8,0,0,29614,174,17,29643,84,121,68049
108,46668,92,51097,4576294.51,19371,11,0,109.633333,188,35331.62,0,35,146,35.5,2700,0,48652,156,15,75956,78,167,79264
92,83912,96,34069,2117754.69,552,15,0,45,131,0,0,45,121,169.2,2000,0,41543,145,17,64713,99,176,54417
96,45050,85,39921,2756566.53,43505,14,0,40.8,146,0,0,121,163,14,39953,4724,45951,177,14,20001427,95,188,56687
85,43689,80,41580,4482450.64,1107,11,0,35.5,121,0,400,167,192,6,529,17808.96,736324,167,46,20694062,100,188,202896
80,69527,110,34849,1582670.81,22510,12,74.75,169.2,163,4724,200,176,173,12.5,0,499.5,75157,153,16,6743345,79,152,63012
110,65717,85,41417,1496773.47,551,12,100.56,14,192,17808.96,10,188,191,0,0,2386.59,84152,154,17,4302,84,167,67633
85,27101,115,29614,1361495.97,1248,12,165.76,6,173,499.5,230,188,170,0.3,16000,0,76713,163,22,31816,86,146,115242
115,44199,108,48652,1741482.85,826,12,0,12.5,191,2386.59,0,152,163,2.2,1,0,40073,25,27,34000,135,301,74603
108,50004,107,41543,1454869.45,159,20,16.02,0,170,0,0,167,142,89.2,18054,17450.54,54477,149,28,8801628,84,182,63525
107,47244,113,45951,2794516.46,257,16,62650.69,0.3,163,0,200,146,144,21.7,838,6196.08,67090,176,25,12027661,79,163,71970
113,22980,85,736324,4323053.04,126,11,143797.92,2.2,142,17450.54,58080,301,226,0,40,0,90141,156,33,25268862,121,253,294832
85,52798,96,75157,1729342.32,55,15,23580.51,89.2,144,6196.08,0,182,140,48.8,0,15984.83,31388,159,21,4902846,91,201,83238
96,67954,76,84152,2848835.22,22231,13,57,21.7,226,0,450,163,127,77.1,1,7.25,35183,163,18,3000096,107,175,67877
76,28242,86,76713,3017653.67,294,16,13872.47,0,140,15984.83,0,253,163,42,1505,0,90445,151,26,1101100,93,193,77855
86,44707,103,40073,1624696.69,89,20,0,48.8,127,7.25,0,201,180,60.9,3189,81.73,68522,157,19,66,96,156,71023
103,25208,103,54477,1982389.16,469,19,46,77.1,163,0,1,175,198,49.3,22455,987.68,34512,165,20,18153,116,189,68412
103,27901,165,67090,957026.72,7173,21,2654.65,42,180,81.73,50,193,172,0.6,0,1505.98,44204,158,22,46874,102,200,73569
165,130863,135,90141,1344234.21,344,29,318.17,60.9,198,987.68,64,156,191,1.1,0,649.28,34298,160,23,2449,97,241,62094
135,19664,115,31388,1293451.97,49,21,10176.34,49.3,172,1505.98,6,189,198,0.1,38,21505.56,46690,150,20,4583847,91,178,58747
115,33979,134,35183,2426508.28,48,18,8573,0.6,191,649.28,476,200,171,3.6,15050,0,57719,148,23,4685,101,303,62448
134,37689,92,90445,2261931.54,3078,15,2930.04,1.1,198,21505.56,0,241,157,40.9,115,14752.5,46561,155,30,5050,89,314,85463
92,83412,165,68522,2262517.93,27683,14,8862.19,0.1,171,0,625,178,156,186.1,0,123129.25,19812,141,24,3869,96,279,54559
165,58563,106,34512,3538525.3,58,21,351.46,3.6,157,14752.5,5140,303,159,181.1,17000,0,34647,157,21,60659,83,351,83858
106,24070,94,44204,1977077.18,189,15,349.55,40.9,156,123129.25,0,314,153,15.6,0,42377.5,53574,154,26,11907441,121,190,117743
94,66805,74,34298,1621881.1,394,23,10695.62,186.1,159,0,698,279,159,81.9,59127,77818.86,68150,40,6,13040,36,30,24067
74,30582,75,46690,2399691.86,26,15,1071.39,181.1,153,42377.5,1308,351,151,49.2,16074,0,33506,161,28,489,71,173,116197
75,39672,98,57719,3197344.1,2941,20,311.28,15.6,159,77818.86,0,190,156,85.1,3073,0,34419,168,34,12903,108,227,119709
98,25828,113,46561,1778983.66,1652,18,373,81.9,151,0,0,30,152,22.1,348,0,42580,152,31,12125,100,183,78887
113,2372,98,19812,770265.08,5079,26,10031.93,49.2,156,0,0,173,168,0,49609,0,28039,164,21,8941,100,172,55911
98,8132,54,34647,1802217.15,1570,17,235.58,85.1,152,0,0,227,235,0.1,15036,0,67554,177,29,17313,62,165,108822
54,51337,80,53574,1560793.41,7591,18,9303.61,22.1,168,0,0,183,182,1.5,0,0,28051,163,26,53312,94,184,97654
80,65790,139,68150,736443.84,2216,9,432.21,0,235,0,0,172,204,1.7,18501,2797.5,54444,196,29,136925,87,152,98248
139,6699,127,33506,2404891.54,1709,18,9145.16,0.1,182,0,400,165,184,29,52167,10277.77,85417,164,27,17454,85,185,72170
127,6613,140,34419,1422335.24,1936,19,713.75,1.5,204,2797.5,155,184,207,121.1,0,55632.62,65294,74,5,4399855,37,32,68781
140,11712,193,42580,3584402.08,6830,22,1561.74,1.7,184,10277.77,995,152,167,101.1,24500,7.75,24636,79,8,69,38,37,63108
193,47700,157,28039,1136206.75,5237,24,1345.02,29,207,55632.62,0,185,159,82,16001,0,49826,77,7,17916,54,37,55524
157,8493,181,67554,2974003.8,4012,18,2879.05,121.1,167,7.75,0,32,72,72.3,0,668.05,36978,78,2,25203,38,63,85747
181,12060,73,28051,2748439.94,1705,24,1566.85,101.1,159,0,5,37,86,286,0,465.86,50017,89,10,12398,43,33,58438
