@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R24,32,37,66,178,215,255,286,373,383,475,498,502,531,654,667,702,730,744,756,759,765,771,808,825,839,930'

@attribute NUM_OPERACIONES_8_lag11 numeric
@attribute VALOR_11_lag11 numeric
@attribute PESO_13_lag11 numeric
@attribute NUM_OPERACIONES_22_lag11 numeric
@attribute NUM_OPERACIONES_8_lag9 numeric
@attribute PESO_21_lag9 numeric
@attribute NUM_OPERACIONES_8_lag8 numeric
@attribute PESO_19_lag8 numeric
@attribute VALOR_22_lag7 numeric
@attribute w_racha_dir_lag7 numeric
@attribute PESO_5_lag5 numeric
@attribute NUM_OPERACIONES_12_lag5 numeric
@attribute PESO_14_lag5 numeric
@attribute NUM_OPERACIONES_23_lag5 numeric
@attribute VALOR_13_lag3 numeric
@attribute NUM_OPERACIONES_17_lag3 numeric
@attribute NUM_OPERACIONES_3_lag2 numeric
@attribute PESO_13_lag2 numeric
@attribute NUM_OPERACIONES_17_lag2 numeric
@attribute NUM_OPERACIONES_21_lag2 numeric
@attribute NUM_OPERACIONES_22_lag2 numeric
@attribute p_mes_lag2 numeric
@attribute PESO_1_lag1 numeric
@attribute VALOR_13_lag1 numeric
@attribute PESO_19_lag1 numeric
@attribute NUM_OPERACIONES_23_lag1 numeric
@attribute PESO_20_ahead6 numeric

@data
109,14937.01,55,152,150,67635,100,55005,2685633.04,8,635,5,208281,58,0,73,1322,5,49,27,179,19.5,17001,975.22,41580,59,120337
81,1964.74,0,171,100,44268,131,38643,2265681.81,7.5,552,12,25654,50,249.75,49,1506,24,44,26,136,109.633333,0,0,34849,63,77365
150,2455.92,27,128,131,71291,95,38531,3423755.82,9,523,13,416,52,975.22,44,1646,0,69,21,188,45,2000,35331.62,41417,57,73581
100,1473.55,0,197,95,64676,108,40679,1571131.23,8,1029,12,31,58,0,69,1180,6008,59,36,131,40.8,0,0,29614,63,68049
131,578.18,44,129,108,46668,92,51097,4576294.51,8,19371,11,0,59,35331.62,59,1344,0,52,35,146,35.5,2700,0,48652,70,79264
95,0,12,164,92,83912,96,34069,2117754.69,25,552,15,0,63,0,52,1719,0,58,45,121,169.2,2000,0,41543,91,54417
108,44.9,5,148,96,45050,85,39921,2756566.53,24,43505,14,0,57,0,58,1840,0,84,121,163,14,39953,4724,45951,96,56687
92,22,0,144,85,43689,80,41580,4482450.64,7,1107,11,0,63,0,84,1711,400,78,167,192,6,529,17808.96,736324,117,202896
96,0,0,179,80,69527,110,34849,1582670.81,26,22510,12,64,70,4724,78,2016,200,99,176,173,12.5,0,499.5,75157,133,63012
85,28,5,179,110,65717,85,41417,1496773.47,8,551,12,10,91,17808.96,99,1720,10,95,188,191,0,0,2386.59,84152,112,67633
80,7008.48,24,136,85,27101,115,29614,1361495.97,9,1248,12,172,96,499.5,95,2123,230,100,188,170,0.3,16000,0,76713,105,115242
110,44,0,188,115,44199,108,48652,1741482.85,7,826,12,0,117,2386.59,100,1511,0,79,152,163,2.2,1,0,40073,108,74603
85,0,6008,131,108,50004,107,41543,1454869.45,8,159,20,8,133,0,79,1690,0,84,167,142,89.2,18054,17450.54,54477,106,63525
115,54,0,146,107,47244,113,45951,2794516.46,7,257,16,187738,112,0,84,1846,200,86,146,144,21.7,838,6196.08,67090,163,71970
108,178,0,121,113,22980,85,736324,4323053.04,6,126,11,313533,105,17450.54,86,2048,58080,135,301,226,0,40,0,90141,101,294832
107,1171.04,0,163,85,52798,96,75157,1729342.32,8,55,15,50195,108,6196.08,135,1933,0,84,182,140,48.8,0,15984.83,31388,110,83238
113,286.11,400,192,96,67954,76,84152,2848835.22,9,22231,13,5,106,0,84,1444,450,79,163,127,77.1,1,7.25,35183,128,67877
85,398.44,200,173,76,28242,86,76713,3017653.67,8,294,16,31105,163,15984.83,79,1859,0,121,253,163,42,1505,0,90445,106,77855
96,272.58,10,191,86,44707,103,40073,1624696.69,10,89,20,0,101,7.25,121,1963,0,91,201,180,60.9,3189,81.73,68522,121,71023
76,245.11,230,170,103,25208,103,54477,1982389.16,8,469,19,8,110,0,91,2247,1,107,175,198,49.3,22455,987.68,34512,108,68412
86,2592.54,0,163,103,27901,165,67090,957026.72,10,7173,21,627,128,81.73,107,1865,50,93,193,172,0.6,0,1505.98,44204,111,73569
103,366.92,0,142,165,130863,135,90141,1344234.21,24,344,29,96,106,987.68,93,1824,64,96,156,191,1.1,0,649.28,34298,124,62094
