@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R118,167,200,207,292-293,317,360,363,447,472,475,499,506,540,555,571,633,706,756,794-795,822,894,925'

@attribute VALOR_14_lag10 numeric
@attribute PESO_5_lag9 numeric
@attribute PESO_16_lag9 numeric
@attribute VALOR_18_lag9 numeric
@attribute PESO_21_lag8 numeric
@attribute VALOR_21_lag8 numeric
@attribute NUM_OPERACIONES_3_lag7 numeric
@attribute PESO_18_lag7 numeric
@attribute PESO_19_lag7 numeric
@attribute VALOR_21_lag6 numeric
@attribute PESO_4_lag5 numeric
@attribute PESO_5_lag5 numeric
@attribute PESO_13_lag5 numeric
@attribute VALOR_15_lag5 numeric
@attribute PESO_1_lag4 numeric
@attribute PESO_6_lag4 numeric
@attribute VALOR_11_lag4 numeric
@attribute VALOR_6_lag3 numeric
@attribute PESO_5_lag2 numeric
@attribute NUM_OPERACIONES_21_lag2 numeric
@attribute NUM_OPERACIONES_8_lag1 numeric
@attribute PESO_9_lag1 numeric
@attribute PESO_18_lag1 numeric
@attribute VALOR_16_lag0 numeric
@attribute PESO_7_ahead1 numeric

@data
34545.25,1193,12158,70692.53,44268,81833.83,1717,29195,38643,128199.72,217618,635,5,18269811.44,1684,215338,22,489253.85,1029,27,80,457138,24182,70932.9,3253263
13546.11,187,28462,92977.87,71291,112194.13,1846,192723,38531,82392.08,241065,552,0,8631309.52,101870,160939,0,587647.93,19371,26,110,191601,26001,61334.01,2556898
4.46,29,21786,88783.02,64676,128199.72,1850,186357,40679,96442.52,199440,523,0,1277226.5,17036,159034,28,404178.42,552,21,85,367543,41235,46562.74,3835614
4.95,573,545455,126107.12,46668,82392.08,1976,34248,51097,86975.48,659723,1029,5,11187663.02,17001,132230,7008.48,422897.86,43505,36,115,235563,24945,92210.44,8493951
62212.72,635,15272,71473.86,83912,96442.52,2233,26368,34069,85302.97,225647,19371,24,14019.28,0,171731,44,270164.29,1107,35,108,347303,43353,63346.45,2450521
67854.2,552,57403,133720.14,45050,86975.48,1322,25554,39921,83459.77,141836,552,0,18047.94,2000,76514,0,260242.76,22510,45,107,213197,41501,81277.62,853642
8353.69,523,42629,88221.58,43689,85302.97,1506,24182,41580,100302.51,188678,43505,6008,4523028.81,0,60491,54,349717.52,551,121,113,419606,63870,99721.73,538373
4052.74,1029,40055,83245.74,69527,83459.77,1646,26001,34849,43791.68,137461,1107,0,2944264.48,2700,71665,178,251952.59,1248,167,85,362615,45300,98346.39,207290
52.16,19371,44103,40190.06,65717,100302.51,1180,41235,41417,89754.32,139512,22510,0,3790163.44,2000,55843,1171.04,327853,826,176,96,545395,33178,70409.51,865174
0,552,30769,78376.61,27101,43791.68,1344,24945,29614,139159.92,133677,551,0,11325579.42,39953,64638,286.11,274937.74,159,188,76,436977,45260,37025.23,1325578
0,43505,24371,183803.88,44199,89754.32,1719,43353,48652,89954.29,103458,1248,400,5384668.23,529,43366,398.44,306142.15,257,188,86,288560,60961,63625.17,1495317
0,1107,15465,52634.11,50004,139159.92,1840,41501,41543,62028.74,5475,826,200,17972672.14,0,65672,272.58,360855.38,126,152,103,365419,65369,243519.94,3047421
0,22510,44547,119444.75,47244,89954.29,1711,63870,45951,143771.65,526731,159,10,8256298.58,0,100018,245.11,402245.56,55,167,103,263565,81949,88359.02,2715935
74.75,551,19603,116629.73,22980,62028.74,2016,45300,736324,252846.56,547240,257,230,11275992.17,16000,190352,2592.54,496463.74,22231,146,165,285513,106172,196394.79,9780713
100.56,1248,27337,186778.65,52798,143771.65,1720,33178,75157,59528.48,1112172,126,0,11247431.93,1,141427,366.92,389519.41,294,301,135,440479,38258,253723.81,2429763
165.76,826,35122,221603.55,67954,252846.56,2123,45260,84152,118505.62,80833,55,0,2183224.33,18054,111794,560.47,355449.56,89,182,115,97963,55566,114155.38,1459708
0,159,27450,125387.42,28242,59528.48,1511,60961,76713,43669.21,149275,22231,200,13759.83,838,105744,32,171660.78,469,163,134,166944,63675,153012.57,1421997
16.02,257,26011,145118.86,44707,118505.62,1690,65369,40073,47304.91,128886,294,58080,1928608.86,40,44234,49722.61,281812.97,7173,253,92,237377,74159,61065.8,676069
62650.69,126,12539,292479.98,25208,43669.21,1846,81949,54477,172569.51,92984,89,0,63541.14,0,61973,360.59,372821.04,344,201,165,371147,27018,122200.28,1061285
143797.92,55,40215,242468.02,27901,47304.91,2048,106172,67090,30657.33,344169,469,450,15873.98,1,104158,375.26,394979.23,49,175,106,328315,25800,87882.14,357290
23580.51,22231,124598,348039.91,130863,172569.51,1933,38258,90141,124553.86,390348,7173,0,2148419.87,1505,76632,461.87,346879.2,48,193,94,471439,32883,215721.59,1072040
57,294,29346,432040.54,19664,30657.33,1444,55566,31388,78509.35,334325,344,0,15988.14,3189,64430,73416.43,221659.08,3078,156,74,439311,41706,53825.61,1310932
13872.47,89,62573,158021.05,33979,124553.86,1859,63675,35183,101520.61,196092,49,1,2100928.43,22455,47305,3756.38,363058.79,27683,189,75,464319,63626,184979.04,1569340
0,469,23903,201506.13,37689,78509.35,1963,74159,90445,110715.38,233037,48,50,2575514.96,0,78352,373.01,493520.69,58,200,98,459047,22713,54038.19,3179457
46,7173,42078,250244.07,83412,101520.61,2247,27018,68522,37963.4,167817,3078,64,11558.65,0,142697,8504.63,513071.07,189,241,113,289468,75815,166960.1,2767615
2654.65,344,68354,268957.02,58563,110715.38,1865,25800,34512,78649.77,200518,27683,6,200437.63,38,142722,6947.34,558333.71,394,178,98,354209,69442,137026.81,2487279
318.17,49,38850,113215.11,24070,37963.4,1824,32883,44204,65641.38,326975,58,476,68329.5,15050,155865,386.41,483040.08,26,303,54,518507,52785,157781.25,3663372
