@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R52,118,172,191,195,277,284,310,317,334,360,369-370,394,423,437,440,576,583,648,657,710,755,783,831,833,853,871,875,884,899,926'

@attribute PESO_18_lag11 numeric
@attribute VALOR_14_lag10 numeric
@attribute NUM_OPERACIONES_6_lag9 numeric
@attribute PESO_13_lag9 numeric
@attribute VALOR_14_lag9 numeric
@attribute PESO_16_lag8 numeric
@attribute VALOR_18_lag8 numeric
@attribute VALOR_1_lag7 numeric
@attribute NUM_OPERACIONES_3_lag7 numeric
@attribute VALOR_9_lag7 numeric
@attribute PESO_18_lag7 numeric
@attribute PESO_21_lag7 numeric
@attribute VALOR_21_lag7 numeric
@attribute NUM_OPERACIONES_3_lag6 numeric
@attribute VALOR_13_lag6 numeric
@attribute PESO_18_lag6 numeric
@attribute PESO_19_lag6 numeric
@attribute PESO_13_lag4 numeric
@attribute VALOR_15_lag4 numeric
@attribute VALOR_11_lag3 numeric
@attribute VALOR_14_lag3 numeric
@attribute VALOR_6_lag2 numeric
@attribute VALOR_21_lag2 numeric
@attribute PESO_5_lag1 numeric
@attribute PESO_21_lag1 numeric
@attribute NUM_OPERACIONES_21_lag1 numeric
@attribute NUM_OPERACIONES_2_lag0 numeric
@attribute NUM_OPERACIONES_8_lag0 numeric
@attribute PESO_10_lag0 numeric
@attribute PESO_13_lag0 numeric
@attribute PESO_18_lag0 numeric
@attribute PESO_7_ahead2 numeric

@data
66873,34545.25,68,27,13546.11,28462,92977.87,41020.21,1717,832230.37,29195,71291,112194.13,1846,349.52,192723,38531,0,8631309.52,0,4052.74,587647.93,85302.97,19371,69527,26,52,110,72212352,0,26001,2556898
22842,13546.11,73,0,4.46,21786,88783.02,22339.94,1846,1192055.67,192723,64676,128199.72,1850,249.75,186357,40679,0,1277226.5,28,52.16,404178.42,83459.77,552,65717,21,35,85,37595941,6008,41235,3835614
32650,4.46,83,44,4.95,545455,126107.12,84238.84,1850,551420.14,186357,46668,82392.08,1976,0,34248,51097,5,11187663.02,7008.48,0,422897.86,100302.51,43505,27101,36,28,115,33206509,0,24945,8493951
34089,4.95,65,12,62212.72,15272,71473.86,32908.79,1976,712998.23,34248,83912,96442.52,2233,0,26368,34069,24,14019.28,44,0,270164.29,43791.68,1107,44199,35,59,108,52566532,0,43353,2450521
29195,62212.72,73,5,67854.2,57403,133720.14,243845.94,2233,865520.8,26368,45050,86975.48,1322,249.75,25554,39921,0,18047.94,0,0,260242.76,89754.32,22510,50004,45,86,107,46584664,0,41501,853642
192723,67854.2,71,0,8353.69,42629,88221.58,51126.03,1322,686482.52,25554,43689,85302.97,1506,975.22,24182,41580,6008,4523028.81,54,0,349717.52,139159.92,551,47244,121,87,113,27033105,400,63870,538373
186357,8353.69,65,0,4052.74,40055,83245.74,47084.54,1506,768531.69,24182,69527,83459.77,1646,0,26001,34849,0,2944264.48,178,74.75,251952.59,89954.29,1248,22980,167,97,85,4093056,200,45300,207290
34248,4052.74,98,5,52.16,44103,40190.06,0,1646,548011.7,26001,65717,100302.51,1180,35331.62,41235,41417,0,3790163.44,1171.04,100.56,327853,62028.74,826,52798,176,98,96,11604232,10,33178,865174
26368,52.16,90,24,0,30769,78376.61,8489.9,1180,749606.91,41235,27101,43791.68,1344,0,24945,29614,0,11325579.42,286.11,165.76,274937.74,143771.65,159,67954,188,86,76,136889542,230,45260,1325578
25554,0,81,0,0,24371,183803.88,0,1344,490356.57,24945,44199,89754.32,1719,0,43353,48652,400,5384668.23,398.44,0,306142.15,252846.56,257,28242,188,92,86,29598018,0,60961,1495317
24182,0,47,6008,0,15465,52634.11,42208.93,1719,799378.13,43353,50004,139159.92,1840,0,41501,41543,200,17972672.14,272.58,16.02,360855.38,59528.48,126,44707,152,90,103,89333622,0,65369,3047421
26001,0,67,0,0,44547,119444.75,14000,1840,500402.77,41501,47244,89954.29,1711,4724,63870,45951,10,8256298.58,245.11,62650.69,402245.56,118505.62,55,25208,167,81,103,52842218,200,81949,2715935
41235,0,71,0,74.75,19603,116629.73,97092.68,1711,816854.08,63870,22980,62028.74,2016,17808.96,45300,736324,230,11275992.17,2592.54,143797.92,496463.74,43669.21,22231,27901,146,31,165,930856,58080,106172,9780713
24945,74.75,50,0,100.56,27337,186778.65,11261.3,2016,639226.88,45300,52798,143771.65,1720,499.5,33178,75157,0,11247431.93,366.92,23580.51,389519.41,47304.91,294,130863,301,84,135,51221136,0,38258,2429763
43353,100.56,88,400,165.76,35122,221603.55,0,1720,1018063.8,33178,67954,252846.56,2123,2386.59,45260,84152,0,2183224.33,560.47,57,355449.56,172569.51,89,19664,182,77,115,80636021,450,55566,1459708
41501,165.76,66,200,0,27450,125387.42,0,2123,974217.06,45260,28242,59528.48,1511,0,60961,76713,200,13759.83,32,13872.47,171660.78,30657.33,469,33979,163,80,134,86945548,0,63675,1421997
63870,0,70,10,16.02,26011,145118.86,43150,1511,611353.41,60961,44707,118505.62,1690,0,65369,40073,58080,1928608.86,49722.61,0,281812.97,124553.86,7173,37689,253,91,92,60522550,0,74159,676069
45300,16.02,45,230,62650.69,12539,292479.98,457,1690,770023,65369,25208,43669.21,1846,17450.54,81949,54477,0,63541.14,360.59,46,372821.04,78509.35,344,83412,201,90,165,30490025,1,27018,1061285
33178,62650.69,96,0,143797.92,40215,242468.02,57069.4,1846,531688.15,81949,27901,47304.91,2048,6196.08,106172,67090,450,15873.98,375.26,2654.65,394979.23,101520.61,49,58563,175,88,106,100249845,50,25800,357290
45260,143797.92,89,0,23580.51,124598,348039.91,7133.61,2048,671460.24,106172,130863,172569.51,1933,0,38258,90141,0,2148419.87,461.87,318.17,346879.2,110715.38,48,24070,193,91,94,17071536,64,32883,1072040
60961,23580.51,75,200,57,29346,432040.54,1241.26,1933,916758.87,38258,19664,30657.33,1444,15984.83,55566,31388,0,15988.14,73416.43,10176.34,221659.08,37963.4,3078,66805,156,96,74,46298175,6,41706,1310932
65369,57,98,58080,13872.47,62573,158021.05,0,1444,247983.49,55566,33979,124553.86,1859,7.25,63675,35183,1,2100928.43,3756.38,8573,363058.79,78649.77,27683,30582,189,96,75,38315383,476,63626,1569340
81949,13872.47,57,0,0,23903,201506.13,80.96,1859,336731.73,63675,37689,78509.35,1963,0,74159,90445,50,2575514.96,373.01,2930.04,493520.69,65641.38,58,39672,200,92,98,18834201,0,22713,3179457
106172,0,103,450,46,42078,250244.07,24726.61,1963,502386.36,74159,83412,101520.61,2247,81.73,27018,68522,64,11558.65,8504.63,8862.19,513071.07,100551.23,189,25828,241,69,113,10011065,625,75815,2767615
38258,46,87,0,2654.65,68354,268957.02,66934.29,2247,740044.14,27018,58563,110715.38,1865,987.68,25800,34512,6,200437.63,6947.34,351.46,558333.71,46758.04,394,2372,178,101,98,60949371,5140,69442,2487279
55566,2654.65,97,0,318.17,38850,113215.11,248231.21,1865,633447.12,25800,24070,37963.4,1824,1505.98,32883,44204,476,68329.5,386.41,349.55,483040.08,15338.55,26,8132,303,72,54,47511975,0,52785,3663372
63675,318.17,95,1,10176.34,26170,100814.41,0,1824,1152615.49,32883,66805,78649.77,2658,649.28,41706,34298,0,1536011.69,28889.12,10695.62,387277.43,44592.2,2941,51337,314,87,80,4070019,698,27737,2370005
74159,10176.34,76,50,8573,61299,114132.73,0,2658,956079.14,41706,30582,65641.38,1317,21505.56,63626,46690,625,967707.59,4762.32,1071.39,351876.29,78288.37,1652,65790,279,113,139,26489245,1308,43858,2240413
27018,8573,84,64,2930.04,78128,190105.42,5600.63,1317,1184445.51,63626,39672,100551.23,2145,0,22713,57719,5140,785.22,514.78,311.28,360602,73434.66,5079,6699,351,94,127,11619681,0,22167,563552
25800,2930.04,81,6,8862.19,33613,293102.8,47360,2145,1240748.48,22713,25828,46758.04,2059,14752.5,75815,46561,0,12119.57,309.28,373,284026.1,37842.97,1570,6613,190,42,140,13802427,0,16786,934037
32883,8862.19,114,476,351.46,71996,46877.58,4451.45,2059,664454.93,75815,2372,15338.55,1839,123129.25,69442,19812,698,9023.45,328.95,10031.93,437706.14,27766.46,7591,11712,30,87,193,8659664,0,19990,8356420
41706,351.46,85,0,349.55,20819,367306.93,0,1839,892627.02,69442,8132,44592.2,2076,0,52785,34647,1308,14821.27,445.82,235.58,295760.41,45553.95,2216,47700,173,95,157,96970642,0,26368,866668
63626,349.55,127,625,10695.62,52128,311053.63,45144.76,2076,1242678.72,52785,51337,78288.37,1611,42377.5,27737,53574,0,2977703.98,112.27,9303.61,261253.11,115648.5,1709,8493,227,80,181,133245936,0,21448,1182016
22713,10695.62,81,5140,1071.39,17092,202007.5,0,1611,435789.89,27737,65790,73434.66,1790,77818.86,43858,68150,0,10293.93,38771.21,432.21,341178.48,46233.64,1936,12060,183,83,73,91324,0,23182,1300326
75815,1071.39,58,0,311.28,66300,108398.95,201236.73,1790,281591.37,43858,6699,37842.97,2113,0,22167,33506,0,68332.52,249.88,9145.16,422602.87,47977.91,6830,9497,172,97,92,116334428,400,25414,3265438
69442,311.28,159,698,373,51173,120042.35,160369.8,2113,148853.33,22167,6613,27766.46,2302,0,16786,34419,0,15429010.58,507653.88,713.75,473844.82,42843.79,5237,3454,165,83,166,26275512,155,697892,10891638
52785,373,88,1308,10031.93,116973,81226.04,25010.13,2302,913612.92,16786,11712,45553.95,1561,0,19990,42580,0,7351223.52,25313.09,1561.74,569011.97,35937.33,4012,14195,184,87,174,19028286,995,279827,4426497
27737,10031.93,77,0,235.58,53167,79364.81,6386.41,1561,541004.96,19990,47700,115648.5,2162,0,26368,28039,0,21894.16,524.37,1345.02,470981.75,67325.04,1705,12591,152,65,139,75607522,0,239247,3188769
43858,235.58,100,0,9303.61,34706,62234.36,141495.5,2162,973934.63,26368,8493,46233.64,2228,0,21448,67554,400,426711.41,1826.95,2879.05,348511.66,81021.62,2877,4755,185,51,177,10679821,0,155367,2974767
22167,9303.61,89,0,432.21,121174,128630.06,37630,2228,1101229.71,21448,12060,47977.91,1448,0,23182,28051,155,1474586.94,11754.58,1566.85,355040.37,27785.62,18542,2274,32,116,179,54289336,5,626309,4204833
16786,432.21,72,0,9145.16,23612,99831.04,0,1448,605468.74,23182,9497,42843.79,2711,2797.5,25414,54444,995,1459573.2,420.59,16400.27,371324.25,20646.08,4601,7599,37,53,208,51447938,40,336067,4927018
