@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R64,152,157,193,249,302,350,388,394,427,477,507,542,550,659,661,692,708,729,735,785,846,880,898,923,926-927'

@attribute PESO_22_lag11 numeric
@attribute w_racha_dir_lag10 numeric
@attribute NUM_OPERACIONES_1_lag9 numeric
@attribute NUM_OPERACIONES_13_lag9 numeric
@attribute NUM_OPERACIONES_6_lag8 numeric
@attribute w_med_lag8 numeric
@attribute NUM_OPERACIONES_14_lag7 numeric
@attribute NUM_OPERACIONES_1_lag6 numeric
@attribute NUM_OPERACIONES_3_lag6 numeric
@attribute NUM_OPERACIONES_14_lag6 numeric
@attribute NUM_OPERACIONES_5_lag5 numeric
@attribute NUM_OPERACIONES_15_lag5 numeric
@attribute NUM_OPERACIONES_1_lag4 numeric
@attribute VALOR_4_lag4 numeric
@attribute PESO_15_lag3 numeric
@attribute NUM_OPERACIONES_15_lag3 numeric
@attribute w_racha_speed_lag3 numeric
@attribute NUM_OPERACIONES_5_lag2 numeric
@attribute NUM_OPERACIONES_12_lag2 numeric
@attribute NUM_OPERACIONES_14_lag2 numeric
@attribute NUM_OPERACIONES_5_lag1 numeric
@attribute w_racha_speed_lag1 numeric
@attribute NUM_OPERACIONES_11_lag0 numeric
@attribute NUM_OPERACIONES_17_lag0 numeric
@attribute w_racha_speed_lag0 numeric
@attribute PESO_7_ahead2 numeric
@attribute PESO_7_ahead3 numeric

@data
1703954,24,4,3,73,22,1,3,1846,6,7,9,3,339246.04,2014330,6,18.9,9,12,2,12,25.6,2,69,20.3,2556898,3835614
1447727,9,2,0,83,27,6,14,1850,7,9,8,6,305915.67,17819359,15,27.5,12,11,0,14,20.3,0,59,21.7,3835614,8493951
1198703,8,7,1,65,18,7,3,1976,3,7,6,2,595368.81,12690,5,25.6,14,15,0,14,21.7,1,52,22.8,8493951,2450521
1011141,8,3,1,73,20,3,6,2233,2,9,15,2,370278.74,16357,5,20.3,14,14,0,12,22.8,3,58,25.3,2450521,853642
1276184,7.5,14,1,71,20,2,2,1322,2,12,5,0,230892.06,6829753,6,21.7,12,11,0,17,25.3,17,84,26.4,853642,538373
1204089,9,3,0,65,16,2,2,1506,0,14,5,3,257511.91,5041542,8,22.8,17,12,1,17,26.4,10,78,21.7,538373,207290
1414412,8,6,0,98,25,0,0,1646,0,14,6,0,294683.31,5864290,12,25.3,17,12,3,11,21.7,13,99,22.2,207290,865174
524732,8,2,1,90,18,0,3,1180,0,12,8,1,238468.01,18548714,25,26.4,11,12,3,20,22.2,9,95,22.5,865174,1325578
1808937,25,2,2,81,18,0,0,1344,0,17,12,1,232682.21,8238906,15,21.7,20,12,0,17,22.5,10,100,21.9,1325578,1495317
1298093,24,0,0,47,21,0,1,1719,1,17,25,4,212836.04,28478261,24,22.2,17,20,1,15,21.9,13,79,19.4,1495317,3047421
1339104,7,3,2,67,22,1,1,1840,3,11,15,3,16929.33,13230916,17,22.5,15,16,6,16,19.4,12,84,16.9,3047421,2715935
1440375,26,0,0,71,20,3,4,1711,3,20,24,0,369083.21,18026906,18,21.9,16,11,17,12,16.9,15,86,23.6,2715935,9780713
883962,8,1,0,50,25,3,3,2016,0,17,17,0,373244.41,17994532,20,19.4,12,15,5,15,23.6,2,135,21.9,9780713,2429763
1080091,9,1,0,88,26,0,0,1720,1,15,18,1,231227.64,4057757,14,16.9,15,13,1,19,21.9,20,84,26.1,2429763,1459708
735355,7,4,1,66,26,1,0,2123,6,16,20,1,152238.9,12211,12,23.6,19,16,3,17,26.1,12,79,25.6,1459708,1421997
752049,8,3,1,70,20,6,1,1511,17,12,14,3,293535.01,4011272,6,21.9,17,20,0,14,25.6,14,121,18.1,1421997,676069
1009582,7,0,1,45,21,17,1,1690,5,15,12,3,175568.22,56370,16,26.1,14,19,1,18,18.1,14,91,30,676069,1061285
