@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R7,31-32,44,52,79,102,129,138-139,141,162,173,185-186,192,215-216,286,319,339-340,373,386,431,437,443,473,487-488,514,523-524,591-592,594,621,626-627,701,704,736,745-746,771,780,793,801-802,810-811,823,826,864,873,899-900,928'

@attribute PESO_3_lag11 numeric
@attribute PESO_11_lag11 numeric
@attribute VALOR_11_lag11 numeric
@attribute VALOR_15_lag11 numeric
@attribute PESO_18_lag11 numeric
@attribute VALOR_1_lag10 numeric
@attribute PESO_9_lag10 numeric
@attribute PESO_18_lag10 numeric
@attribute PESO_21_lag10 numeric
@attribute VALOR_21_lag10 numeric
@attribute PESO_22_lag10 numeric
@attribute VALOR_3_lag9 numeric
@attribute PESO_7_lag9 numeric
@attribute PESO_11_lag9 numeric
@attribute VALOR_11_lag9 numeric
@attribute VALOR_13_lag9 numeric
@attribute PESO_21_lag9 numeric
@attribute VALOR_21_lag9 numeric
@attribute PESO_19_lag8 numeric
@attribute VALOR_4_lag7 numeric
@attribute PESO_11_lag7 numeric
@attribute VALOR_11_lag7 numeric
@attribute VALOR_22_lag7 numeric
@attribute PESO_1_lag6 numeric
@attribute PESO_16_lag6 numeric
@attribute PESO_18_lag6 numeric
@attribute PESO_20_lag6 numeric
@attribute VALOR_4_lag5 numeric
@attribute PESO_9_lag5 numeric
@attribute VALOR_9_lag5 numeric
@attribute PESO_18_lag5 numeric
@attribute PESO_21_lag5 numeric
@attribute VALOR_21_lag5 numeric
@attribute PESO_18_lag4 numeric
@attribute VALOR_18_lag4 numeric
@attribute PESO_19_lag4 numeric
@attribute VALOR_2_lag3 numeric
@attribute PESO_4_lag3 numeric
@attribute VALOR_4_lag3 numeric
@attribute VALOR_3_lag2 numeric
@attribute VALOR_4_lag2 numeric
@attribute PESO_15_lag2 numeric
@attribute PESO_18_lag2 numeric
@attribute VALOR_18_lag2 numeric
@attribute PESO_1_lag1 numeric
@attribute PESO_4_lag1 numeric
@attribute VALOR_8_lag1 numeric
@attribute PESO_11_lag1 numeric
@attribute VALOR_11_lag1 numeric
@attribute PESO_14_lag1 numeric
@attribute VALOR_14_lag1 numeric
@attribute VALOR_18_lag1 numeric
@attribute VALOR_19_lag1 numeric
@attribute VALOR_6_lag0 numeric
@attribute VALOR_9_lag0 numeric
@attribute PESO_18_lag0 numeric
@attribute VALOR_18_lag0 numeric
@attribute PESO_7_ahead4 numeric

@data
1762044,105220,14937.01,16269.87,66873,15667.68,230837,22842,33642,99011.74,1447727,9376101.44,3138319,1500,2455.92,368.83,67635,112439.46,55005,583072.45,319,578.18,2685633.04,587,545455,192723,86355,312038.54,298560,551420.14,186357,46668,82392.08,34248,133720.14,51097,438761.73,199440,305915.67,11904027.88,595368.81,17819359,25554,83245.74,17001,225647,1432684.91,18732,7008.48,0,0,40190.06,79545.29,422897.86,548011.7,26001,78376.61,8493951
2766260,1200,1964.74,22052.3,22842,20771.54,500038,32650,67635,112439.46,1198703,10280540.18,1067706,900,1473.55,0,44268,81833.83,38643,331653.58,0,0,2265681.81,6630,15272,186357,86338,339246.04,415620,712998.23,34248,83912,96442.52,26368,88221.58,34069,620608.23,659723,595368.81,12959686.76,370278.74,12690,24182,40190.06,0,141836,2265157.4,10,44,0,0,78376.61,65425.25,270164.29,749606.91,41235,183803.88,2450521
2333843,1500,2455.92,5346583.84,32650,6388.48,606667,34089,44268,81833.83,1011141,12011060.64,2041205,319,578.18,1457,71291,112194.13,38531,312038.54,10,44.9,3423755.82,1684,57403,34248,132588,305915.67,458369,865520.8,26368,45050,86975.48,25554,83245.74,39921,340936.98,225647,370278.74,17680737.43,230892.06,16357,26001,78376.61,2000,188678,1656258.41,0,0,0,0,183803.88,87151.41,260242.76,490356.57,24945,52634.11,853642
3097984,900,1473.55,6339648.34,34089,41020.21,503768,29195,71291,112194.13,1276184,8805179.86,1185563,0,0,349.52,64676,128199.72,40679,339246.04,5,22,1571131.23,101870,42629,26368,85543,595368.81,387928,686482.52,25554,43689,85302.97,24182,40190.06,41580,438266.03,141836,230892.06,9898407.67,257511.91,6829753,41235,183803.88,0,137461,3212454.09,12,54,0,0,52634.11,65983.8,349717.52,799378.13,43353,119444.75,538373
3963593,319,578.18,7634846.53,29195,22339.94,693137,192723,64676,128199.72,1204089,13728493.98,522566,10,44.9,249.75,46668,82392.08,51097,305915.67,0,0,4576294.51,17036,40055,25554,4485307,370278.74,457138,768531.69,24182,69527,83459.77,26001,78376.61,34849,237568.95,188678,257511.91,12847381.37,294683.31,5041542,24945,52634.11,2700,139512,3072300.84,35,178,64,74.75,119444.75,155875.81,251952.59,500402.77,41501,116629.73,207290
2522715,0,0,9918795.46,192723,84238.84,298560,186357,46668,82392.08,1414412,13846248.63,483511,5,22,0,83912,96442.52,34069,595368.81,7,28,2117754.69,17001,44103,24182,70125,230892.06,191601,548011.7,26001,65717,100302.51,41235,183803.88,41417,327530.69,137461,294683.31,10189232.19,238468.01,5864290,43353,119444.75,2000,133677,3785921.18,447,1171.04,10,100.56,116629.73,88474.03,327853,816854.08,63870,186778.65,865174
4108531,10,44.9,18269811.44,186357,32908.79,415620,34248,83912,96442.52,524732,14001819.78,3487390,0,0,0,45050,86975.48,39921,370278.74,18732,7008.48,2756566.53,0,30769,26001,60164,257511.91,367543,749606.91,41235,27101,43791.68,24945,52634.11,29614,361519.44,139512,238468.01,12014211.99,232682.21,18548714,41501,116629.73,39953,103458,3523916.39,229,286.11,172,165.76,186778.65,92561.84,274937.74,639226.88,45300,221603.55,1325578
2936590,5,22,8631309.52,34248,243845.94,458369,26368,45050,86975.48,1808937,11904027.88,370727,7,28,249.75,43689,85302.97,41580,230892.06,10,44,4482450.64,2000,24371,41235,80829,294683.31,235563,490356.57,24945,44199,89754.32,43353,119444.75,48652,350681.69,133677,232682.21,9764840.17,212836.04,8238906,63870,186778.65,529,5475,2239919.99,169,398.44,0,0,221603.55,121769.8,306142.15,1018063.8,33178,125387.42,1495317
2658460,0,0,1277226.5,26368,51126.03,387928,25554,43689,85302.97,1298093,12959686.76,872888,18732,7008.48,975.22,69527,83459.77,34849,257511.91,0,0,1582670.81,0,15465,24945,71119,238468.01,347303,799378.13,43353,50004,139159.92,41501,116629.73,41543,441468.15,103458,212836.04,9997412.46,16929.33,28478261,45300,221603.55,0,526731,2669189.82,119,272.58,8,16.02,125387.42,165427.15,360855.38,974217.06,45260,145118.86,3047421
2412506,7,28,11187663.02,25554,47084.54,457138,24182,69527,83459.77,1339104,17680737.43,5614224,10,44,0,65717,100302.51,41417,294683.31,12,54,1496773.47,2700,44547,43353,99205,232682.21,213197,500402.77,41501,47244,89954.29,63870,186778.65,45951,268627.52,5475,16929.33,11617054.93,369083.21,13230916,33178,125387.42,0,547240,1870425.56,197,245.11,187738,62650.69,145118.86,305490.19,402245.56,611353.41,60961,292479.98,2715935
