@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R42,76,120,150,154,216,218,263,347,504,535,550,631,704,814,870,889,900,903,929'

@attribute NUM_OPERACIONES_14_lag11 numeric
@attribute w_racha_speed_lag11 numeric
@attribute PESO_15_lag10 numeric
@attribute hr_lag10 numeric
@attribute PIB_lag10 numeric
@attribute VALOR_21_lag9 numeric
@attribute PESO_22_lag9 numeric
@attribute VALOR_11_lag8 numeric
@attribute NUM_OPERACIONES_13_lag7 numeric
@attribute NUM_OPERACIONES_14_lag5 numeric
@attribute hr_lag5 numeric
@attribute VALOR_4_lag4 numeric
@attribute NUM_OPERACIONES_5_lag3 numeric
@attribute VALOR_4_lag2 numeric
@attribute VALOR_15_lag1 numeric
@attribute VALOR_8_lag0 numeric
@attribute NUM_OPERACIONES_14_lag0 numeric
@attribute VALOR_18_lag0 numeric
@attribute VALOR_19_lag0 numeric
@attribute PESO_7_ahead5 numeric

@data
0,27.5,33410,72,315945,112439.46,1198703,1473.55,1,7,77,339246.04,7,595368.81,14019.28,2265157.4,0,78376.61,65425.25,2450521
2,26.4,7968736,83.25,315945,81833.83,1011141,578.18,1,3,79,305915.67,9,370278.74,18047.94,1656258.41,0,183803.88,87151.41,853642
2,26.1,9086104,77,297470,112194.13,1276184,0,1,2,82,595368.81,12,230892.06,4523028.81,3212454.09,0,52634.11,65983.8,538373
1,21.1,10538498,72,297470,128199.72,1204089,44.9,0,2,81,370278.74,14,257511.91,2944264.48,3072300.84,1,119444.75,155875.81,207290
1,23.9,14479992,77.25,297470,82392.08,1414412,22,0,0,81.666667,230892.06,14,294683.31,3790163.44,3785921.18,3,116629.73,88474.03,865174
6,22.275,26829076,77,305414,96442.52,524732,0,1,0,80,257511.91,12,238468.01,11325579.42,3523916.39,3,186778.65,92561.84,1325578
7,20.3,13513859,79,305414,86975.48,1808937,28,2,0,83,294683.31,17,232682.21,5384668.23,2239919.99,0,221603.55,121769.8,1495317
3,23.3,2014330,82,305414,85302.97,1298093,7008.48,0,0,81,238468.01,17,212836.04,17972672.14,2669189.82,1,125387.42,165427.15,3047421
2,18.9,17819359,81,288049,83459.77,1339104,44,2,1,84,232682.21,11,16929.33,8256298.58,1870425.56,6,145118.86,305490.19,2715935
2,27.5,12690,81.666667,288049,100302.51,1440375,0,0,3,85.666667,212836.04,20,369083.21,11275992.17,2107147.01,17,292479.98,183115.55,9780713
0,25.6,16357,80,288049,43791.68,883962,54,0,3,78,16929.33,17,373244.41,11247431.93,1876745.71,5,242468.02,143677.58,2429763
0,20.3,6829753,83,305396,89754.32,1080091,178,0,0,79,369083.21,15,231227.64,2183224.33,2863260.21,1,348039.91,138615.55,1459708
0,21.7,5041542,81,305396,139159.92,735355,1171.04,1,1,81,373244.41,16,152238.9,13759.83,4525102.68,3,432040.54,224764.84,1421997
0,22.8,5864290,84,305396,89954.29,752049,286.11,1,6,83,231227.64,12,293535.01,1928608.86,3914226.05,0,158021.05,211212.06,676069
1,25.3,18548714,85.666667,287460,62028.74,1009582,398.44,1,17,82,152238.9,15,175568.22,63541.14,3291361.2,1,201506.13,77838.9,1061285
3,26.4,8238906,78,287460,143771.65,1390818,272.58,2,5,80,293535.01,19,146860.63,15873.98,5521115.21,4,250244.07,95177.15,357290
