@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R1,8,17,113,119,126,148,150,227,295,316,340,388,424,503,612,619,627,677,708,781,891,930'

@attribute PESO_1_lag11 numeric
@attribute VALOR_3_lag11 numeric
@attribute VALOR_6_lag11 numeric
@attribute NUM_OPERACIONES_12_lag10 numeric
@attribute NUM_OPERACIONES_14_lag10 numeric
@attribute PESO_17_lag10 numeric
@attribute w_med_lag10 numeric
@attribute hr_lag10 numeric
@attribute hr_lag9 numeric
@attribute PESO_22_lag8 numeric
@attribute VALOR_3_lag7 numeric
@attribute VALOR_11_lag7 numeric
@attribute NUM_OPERACIONES_1_lag6 numeric
@attribute NUM_OPERACIONES_13_lag6 numeric
@attribute VALOR_14_lag5 numeric
@attribute hr_lag4 numeric
@attribute NUM_OPERACIONES_1_lag3 numeric
@attribute VALOR_4_lag3 numeric
@attribute PESO_21_lag3 numeric
@attribute NUM_OPERACIONES_5_lag2 numeric
@attribute VALOR_4_lag1 numeric
@attribute VALOR_15_lag0 numeric
@attribute PESO_7_ahead6 numeric

@data
0,7451234.36,279151.61,9,2,71545714,20,72,83.25,1011141,12011060.64,578.18,3,1,67854.2,79,6,305915.67,45050,9,370278.74,18047.94,853642
1617,9851902.35,260493.1,12,2,36460907,24,83.25,77,1276184,8805179.86,0,14,1,8353.69,82,2,595368.81,43689,12,230892.06,4523028.81,538373
2168,9376101.44,209256.66,10,1,81828,22,77,72,1204089,13728493.98,44.9,3,0,4052.74,81,2,370278.74,69527,14,257511.91,2944264.48,207290
105,10280540.18,362817.79,11,1,7768506,27,72,77.25,1414412,13846248.63,22,6,0,52.16,81.666667,0,230892.06,65717,14,294683.31,3790163.44,865174
2062,12011060.64,224233.91,10,6,153259,18,77.25,77,524732,14001819.78,0,2,1,0,80,3,257511.91,27101,12,238468.01,11325579.42,1325578
587,8805179.86,313793.86,5,7,3502589,20,77,79,1808937,11904027.88,28,2,2,0,83,0,294683.31,44199,17,232682.21,5384668.23,1495317
6630,13728493.98,342811.55,12,3,4051446,20,79,82,1298093,12959686.76,7008.48,0,0,0,81,1,238468.01,50004,17,212836.04,17972672.14,3047421
1684,13846248.63,418859.15,13,2,189935117,16,82,81,1339104,17680737.43,44,3,2,0,84,1,232682.21,47244,11,16929.33,8256298.58,2715935
101870,14001819.78,489253.85,12,2,64838046,25,81,81.666667,1440375,9898407.67,0,0,0,74.75,85.666667,4,212836.04,22980,20,369083.21,11275992.17,9780713
17036,11904027.88,587647.93,11,0,7877520,18,81.666667,80,883962,12847381.37,54,1,0,100.56,78,3,16929.33,52798,17,373244.41,11247431.93,2429763
17001,12959686.76,404178.42,15,0,30107568,18,80,83,1080091,10189232.19,178,1,0,165.76,79,0,369083.21,67954,15,231227.64,2183224.33,1459708
