@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R10,13-14,25-26,31,56,64,81,87-88,91,93,112,114,117-118,124,132,156,161,170-171,242,247-248,266,310,315,342,348-349,364,387,389-390,423,431,487,517-518,530,543,552,576,594-595,604,617,656-657,697,700,704,733-734,757,786,834-835,869,885,893-894,926,925'

@attribute PESO_4_lag11 numeric
@attribute PESO_5_lag11 numeric
@attribute VALOR_5_lag11 numeric
@attribute PESO_9_lag11 numeric
@attribute VALOR_9_lag11 numeric
@attribute PESO_11_lag11 numeric
@attribute VALOR_19_lag11 numeric
@attribute PESO_22_lag11 numeric
@attribute PESO_2_lag10 numeric
@attribute PESO_4_lag10 numeric
@attribute VALOR_4_lag10 numeric
@attribute VALOR_5_lag10 numeric
@attribute PESO_6_lag10 numeric
@attribute VALOR_12_lag10 numeric
@attribute PESO_13_lag10 numeric
@attribute PESO_14_lag10 numeric
@attribute VALOR_14_lag10 numeric
@attribute VALOR_16_lag10 numeric
@attribute PESO_19_lag10 numeric
@attribute VALOR_1_lag9 numeric
@attribute PESO_3_lag9 numeric
@attribute PESO_6_lag9 numeric
@attribute VALOR_6_lag9 numeric
@attribute VALOR_4_lag8 numeric
@attribute PESO_6_lag8 numeric
@attribute VALOR_6_lag8 numeric
@attribute VALOR_12_lag8 numeric
@attribute VALOR_1_lag7 numeric
@attribute PESO_3_lag7 numeric
@attribute PESO_12_lag7 numeric
@attribute PESO_14_lag7 numeric
@attribute VALOR_14_lag7 numeric
@attribute VALOR_19_lag7 numeric
@attribute VALOR_1_lag6 numeric
@attribute PESO_2_lag6 numeric
@attribute VALOR_2_lag6 numeric
@attribute VALOR_13_lag6 numeric
@attribute PESO_16_lag6 numeric
@attribute PESO_9_lag5 numeric
@attribute PESO_19_lag5 numeric
@attribute VALOR_19_lag5 numeric
@attribute VALOR_23_lag5 numeric
@attribute PESO_2_lag4 numeric
@attribute PESO_5_lag4 numeric
@attribute PESO_13_lag4 numeric
@attribute PESO_19_lag4 numeric
@attribute VALOR_19_lag4 numeric
@attribute VALOR_22_lag4 numeric
@attribute PESO_1_lag3 numeric
@attribute PESO_14_lag3 numeric
@attribute VALOR_14_lag3 numeric
@attribute PESO_2_lag2 numeric
@attribute PESO_3_lag2 numeric
@attribute VALOR_4_lag2 numeric
@attribute PESO_14_lag2 numeric
@attribute VALOR_14_lag2 numeric
@attribute PESO_22_lag2 numeric
@attribute PESO_6_lag1 numeric
@attribute PESO_22_lag1 numeric
@attribute VALOR_22_lag1 numeric
@attribute PESO_8_lag0 numeric
@attribute VALOR_13_lag0 numeric
@attribute PESO_16_lag0 numeric
@attribute VALOR_16_lag0 numeric
@attribute PESO_8_ahead2 numeric
@attribute PESO_8_ahead1 numeric

@data
241076,548,29738.11,356574,776344.18,105220,97386.64,1703954,28357,187323,358730.54,24001.95,63321,67108.58,0,96000,34545.25,27278.9,50824,20771.54,2333843,46103,209256.66,421632.82,88988,362817.79,1201124.38,41020.21,3963593,6227038,3,4.95,92303.36,22339.94,207717,462882.72,349.52,545455,298560,40679,95298.94,5640647.76,130697,552,0,51097,123634.86,1571131.23,101870,416,4052.74,255211,2412506,595368.81,31,52.16,1298093,132230,1339104,2756566.53,2842649,0,30769,70932.9,2724975,2021697
187323,1229,24001.95,230837,516820.13,1200,83255.82,1447727,39998,444362,497602.91,64545.32,46103,1216508.93,27,47196,13546.11,27816.32,107387,6388.48,3097984,88988,362817.79,583072.45,42393,224233.91,2636220.25,22339.94,2522715,15208,238800,62212.72,101545.32,84238.84,69638,305748.28,249.75,15272,415620,51097,123634.86,5985232.27,185205,523,0,34069,77717.12,4576294.51,17036,31,52.16,110813,2604390,370278.74,0,0,1339104,171731,1440375,4482450.64,2021697,35331.62,24371,61334.01,2532024,2724975
444362,1193,64545.32,500038,877979.94,1500,184541.36,1198703,116501,409998,421632.82,3185.68,88988,1201124.38,0,3,4.46,78150.24,55005,41020.21,3963593,42393,224233.91,331653.58,75529,313793.86,38862.69,84238.84,4108531,62,208281,67854.2,95298.94,32908.79,130697,304393.69,0,57403,458369,34069,77717.12,6199241.54,255211,1029,5,39921,90621.52,2117754.69,17001,0,0,135941,3480015,230892.06,0,0,1440375,76514,883962,1582670.81,2724975,0,15465,46562.74,2613045,2532024
409998,187,3185.68,606667,840743.75,900,105226.86,1011141,185644,685920,583072.45,428.45,42393,2636220.25,44,3,4.95,50693.57,38643,22339.94,2522715,75529,313793.86,312038.54,78129,342811.55,10346.71,32908.79,2936590,8255646,25654,8353.69,123634.86,243845.94,185205,438761.73,0,42629,387928,39921,90621.52,10058530.25,110813,19371,24,41580,79545.29,2756566.53,0,0,0,102450,1950189,257511.91,0,0,883962,60491,1080091,1496773.47,2532024,0,44547,92210.44,2828411,2613045
685920,29,428.45,503768,832230.37,319,92303.36,1276184,207717,189545,331653.58,53013.97,75529,38862.69,12,238800,62212.72,280549.52,38531,84238.84,4108531,78129,342811.55,339246.04,215338,418859.15,3316566.41,243845.94,2658460,6223419,416,4052.74,77717.12,51126.03,255211,620608.23,249.75,40055,457138,41580,79545.29,5817757.11,135941,552,0,34849,65425.25,4482450.64,2000,0,0,74962,2519919,294683.31,0,0,1080091,71665,735355,1361495.97,2613045,0,19603,63346.45,2218496,2828411
189545,573,53013.97,693137,1192055.67,0,101545.32,1204089,69638,217618,312038.54,20140.22,78129,10346.71,5,208281,67854.2,34166.28,40679,32908.79,2936590,215338,418859.15,305915.67,160939,489253.85,1962342.34,51126.03,2412506,44481,31,52.16,90621.52,47084.54,110813,340936.98,975.22,44103,191601,34849,65425.25,10327555.47,102450,43505,6008,41417,87151.41,1582670.81,0,0,0,252929,2224967,238468.01,64,74.75,735355,55843,752049,1741482.85,2828411,4724,27337,81277.62,2455954,2218496
217618,635,20140.22,298560,551420.14,10,95298.94,1414412,130697,241065,339246.04,4619.08,215338,3316566.41,0,25654,8353.69,310213.91,51097,243845.94,2658460,160939,489253.85,595368.81,159034,587647.93,216697.53,47084.54,2604390,12860812,0,0,79545.29,0,135941,438266.03,0,30769,367543,41417,87151.41,7298343.69,74962,1107,0,29614,65983.8,1496773.47,2700,64,74.75,94778,2952080,232682.21,10,100.56,752049,64638,1009582,1454869.45,2218496,17808.96,35122,99721.73,1700107,2455954
241065,552,4619.08,415620,712998.23,5,123634.86,524732,185205,199440,305915.67,9102.11,160939,1962342.34,0,416,4052.74,136555.26,34069,51126.03,2412506,159034,587647.93,370278.74,132230,404178.42,3991256.95,0,3480015,256787,0,0,65425.25,8489.9,102450,237568.95,35331.62,24371,235563,29614,65983.8,10635805.21,252929,22510,0,48652,155875.81,1361495.97,2000,10,100.56,316817,2458775,212836.04,172,165.76,1009582,43366,1390818,2794516.46,2455954,499.5,27450,98346.39,2209291,1700107
199440,523,9102.11,458369,865520.8,0,77717.12,1808937,255211,659723,595368.81,48191.85,159034,216697.53,5,31,52.16,103959.88,39921,47084.54,2604390,132230,404178.42,230892.06,171731,422897.86,175245.26,8489.9,1950189,4819602,0,0,87151.41,0,74962,327530.69,0,15465,347303,48652,155875.81,9438437,94778,551,0,41543,88474.03,1741482.85,39953,172,165.76,132242,2286615,16929.33,0,0,1390818,65672,1270742,4323053.04,1700107,2386.59,26011,70409.51,2649758,2209291
659723,1029,48191.85,387928,686482.52,7,90621.52,1298093,110813,225647,370278.74,100656.17,132230,3991256.95,24,0,0,118634.36,41580,0,3480015,171731,422897.86,257511.91,76514,270164.29,1856111.81,0,2519919,5546,0,0,65983.8,42208.93,252929,361519.44,0,44547,213197,41543,88474.03,7379099.82,316817,1248,400,45951,92561.84,1454869.45,529,0,0,43902,2428946,369083.21,8,16.02,1270742,100018,820571,1729342.32,2209291,0,12539,37025.23,4655949,2649758
