@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R19,26,37,64,68,87,90-91,102-103,133,164-165,168,170-171,189,191,201,209,233,247-248,324-325,360,387,392,419,441,464,466-467,500,550,594,618,620,629,653,672,713,775,777,810-811,828-829,834,863,911-912,915,925,927,926'

@attribute PESO_7_lag11 numeric
@attribute VALOR_9_lag11 numeric
@attribute PESO_13_lag11 numeric
@attribute PESO_22_lag11 numeric
@attribute VALOR_23_lag11 numeric
@attribute PESO_4_lag10 numeric
@attribute PESO_5_lag10 numeric
@attribute VALOR_5_lag10 numeric
@attribute PESO_9_lag10 numeric
@attribute VALOR_9_lag10 numeric
@attribute VALOR_19_lag10 numeric
@attribute PESO_4_lag9 numeric
@attribute VALOR_4_lag9 numeric
@attribute VALOR_5_lag9 numeric
@attribute PESO_6_lag9 numeric
@attribute VALOR_6_lag9 numeric
@attribute VALOR_12_lag9 numeric
@attribute PESO_13_lag9 numeric
@attribute VALOR_16_lag9 numeric
@attribute PESO_19_lag9 numeric
@attribute VALOR_1_lag8 numeric
@attribute PESO_6_lag8 numeric
@attribute VALOR_6_lag8 numeric
@attribute PESO_6_lag7 numeric
@attribute VALOR_6_lag7 numeric
@attribute PESO_18_lag7 numeric
@attribute VALOR_1_lag6 numeric
@attribute PESO_3_lag6 numeric
@attribute PESO_12_lag6 numeric
@attribute VALOR_19_lag6 numeric
@attribute VALOR_1_lag5 numeric
@attribute PESO_2_lag5 numeric
@attribute VALOR_2_lag5 numeric
@attribute VALOR_13_lag5 numeric
@attribute VALOR_4_lag4 numeric
@attribute PESO_19_lag4 numeric
@attribute VALOR_1_lag3 numeric
@attribute PESO_2_lag3 numeric
@attribute PESO_5_lag3 numeric
@attribute PESO_13_lag3 numeric
@attribute VALOR_19_lag3 numeric
@attribute VALOR_7_lag2 numeric
@attribute VALOR_2_lag1 numeric
@attribute PESO_3_lag1 numeric
@attribute PESO_14_lag1 numeric
@attribute VALOR_14_lag1 numeric
@attribute PESO_20_lag1 numeric
@attribute VALOR_20_lag1 numeric
@attribute PESO_22_lag1 numeric
@attribute PESO_6_lag0 numeric
@attribute PESO_22_lag0 numeric
@attribute VALOR_22_lag0 numeric
@attribute VALOR_23_lag0 numeric
@attribute PESO_8_ahead1 numeric
@attribute PESO_8_ahead3 numeric
@attribute PESO_8_ahead2 numeric

@data
4647664,776344.18,55,1703954,5448839.55,187323,1229,24001.95,230837,516820.13,83255.82,444362,497602.91,64545.32,46103,209256.66,1216508.93,27,27816.32,107387,6388.48,88988,362817.79,42393,224233.91,29195,22339.94,2522715,15208,101545.32,84238.84,69638,305748.28,249.75,339246.04,51097,243845.94,185205,523,0,77717.12,288826.66,340936.98,2604390,0,0,70125,81019.23,1339104,171731,1440375,4482450.64,10327555.47,2021697,2532024,2724975
4155779,516820.13,0,1447727,6493372.31,444362,1193,64545.32,500038,877979.94,184541.36,409998,421632.82,3185.68,88988,362817.79,1201124.38,0,78150.24,55005,41020.21,42393,224233.91,75529,313793.86,192723,84238.84,4108531,62,95298.94,32908.79,130697,304393.69,0,305915.67,34069,51126.03,255211,1029,5,90621.52,828503.13,438266.03,3480015,0,0,60164,69373.63,1440375,76514,883962,1582670.81,7298343.69,2724975,2613045,2532024
3138319,877979.94,27,1198703,1608188.47,409998,187,3185.68,606667,840743.75,105226.86,685920,583072.45,428.45,42393,224233.91,2636220.25,44,50693.57,38643,22339.94,75529,313793.86,78129,342811.55,186357,32908.79,2936590,8255646,123634.86,243845.94,185205,438761.73,0,595368.81,39921,47084.54,110813,19371,24,79545.29,2344853.62,237568.95,1950189,0,0,80829,86375.79,883962,60491,1080091,1496773.47,10635805.21,2532024,2828411,2613045
1067706,840743.75,0,1011141,3812957.3,685920,29,428.45,503768,832230.37,92303.36,189545,331653.58,53013.97,75529,313793.86,38862.69,12,280549.52,38531,84238.84,78129,342811.55,215338,418859.15,34248,243845.94,2658460,6223419,77717.12,51126.03,255211,620608.23,249.75,370278.74,41580,0,135941,552,0,65425.25,1837807.93,327530.69,2519919,0,0,71119,103355.56,1080091,71665,735355,1361495.97,9438437,2613045,2218496,2828411
2041205,832230.37,44,1276184,8669278.36,189545,573,53013.97,693137,1192055.67,101545.32,217618,312038.54,20140.22,78129,342811.55,10346.71,5,34166.28,40679,32908.79,215338,418859.15,160939,489253.85,26368,51126.03,2412506,44481,90621.52,47084.54,110813,340936.98,975.22,230892.06,34849,8489.9,102450,43505,6008,87151.41,1496609.4,361519.44,2224967,64,74.75,99205,109192.22,735355,55843,752049,1741482.85,7379099.82,2828411,2455954,2218496
1185563,1192055.67,12,1204089,5347715.15,217618,635,20140.22,298560,551420.14,95298.94,241065,339246.04,4619.08,215338,418859.15,3316566.41,0,310213.91,51097,243845.94,160939,489253.85,159034,587647.93,25554,47084.54,2604390,12860812,79545.29,0,135941,438266.03,0,257511.91,41417,0,74962,1107,0,65983.8,1862912.7,350681.69,2952080,10,100.56,65707,76507.03,752049,64638,1009582,1454869.45,5501257.11,2218496,1700107,2455954
522566,551420.14,5,1414412,5640647.76,241065,552,4619.08,415620,712998.23,123634.86,199440,305915.67,9102.11,160939,489253.85,1962342.34,0,136555.26,34069,51126.03,159034,587647.93,132230,404178.42,24182,0,3480015,256787,65425.25,8489.9,102450,237568.95,35331.62,294683.31,29614,42208.93,252929,22510,0,155875.81,2906669.79,441468.15,2458775,172,165.76,75700,82114.92,1009582,43366,1390818,2794516.46,2856043.47,2455954,2209291,1700107
483511,712998.23,0,524732,5985232.27,199440,523,9102.11,458369,865520.8,77717.12,659723,595368.81,48191.85,159034,587647.93,216697.53,5,103959.88,39921,47084.54,132230,404178.42,171731,422897.86,26001,8489.9,1950189,4819602,87151.41,0,74962,327530.69,0,238468.01,48652,14000,94778,551,0,88474.03,1856177.62,268627.52,2286615,0,0,120337,143441.29,1390818,65672,1270742,4323053.04,5668553.47,1700107,2649758,2209291
3487390,865520.8,0,1808937,6199241.54,659723,1029,48191.85,387928,686482.52,90621.52,225647,370278.74,100656.17,132230,404178.42,3991256.95,24,118634.36,41580,0,171731,422897.86,76514,270164.29,41235,0,2519919,5546,65983.8,42208.93,252929,361519.44,0,232682.21,41543,97092.68,316817,1248,400,92561.84,857588.29,245927.8,2428946,8,16.02,77365,91002.79,1270742,100018,820571,1729342.32,6447566.78,2209291,4655949,2649758
370727,686482.52,5,1298093,10058530.25,225647,19371,100656.17,457138,768531.69,79545.29,141836,230892.06,26646.63,171731,422897.86,175245.26,0,70932.9,34849,8489.9,76514,270164.29,60491,260242.76,24945,42208.93,2224967,72285,155875.81,14000,94778,350681.69,0,212836.04,45951,11261.3,132242,826,200,121769.8,738247.03,249969.87,2933278,187738,62650.69,73581,90332.68,820571,190352,1179117,2848835.22,4042351.77,2649758,5650392,4655949
