@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R9,46,52,58,96,102-103,114,141,145,164,167-168,179-180,186,210,232,241-242,247-248,268,272,278,286,292,310,315,324-325,386,401-402,423,437,464,469,472,496,518,541,543-544,577,671-673,694-695,697,706,730,749-750,754,756,758,777,790,835,852,854,887-888,905-906,911,926,928,927'

@attribute NUM_OPERACIONES_3_lag11 numeric
@attribute PESO_16_lag11 numeric
@attribute PESO_18_lag11 numeric
@attribute PESO_20_lag11 numeric
@attribute PESO_7_lag10 numeric
@attribute PESO_9_lag10 numeric
@attribute VALOR_9_lag10 numeric
@attribute PESO_13_lag10 numeric
@attribute PESO_22_lag10 numeric
@attribute VALOR_23_lag10 numeric
@attribute PESO_4_lag9 numeric
@attribute PESO_5_lag9 numeric
@attribute VALOR_5_lag9 numeric
@attribute PESO_9_lag9 numeric
@attribute VALOR_9_lag9 numeric
@attribute VALOR_11_lag9 numeric
@attribute VALOR_19_lag9 numeric
@attribute PESO_1_lag8 numeric
@attribute PESO_4_lag8 numeric
@attribute VALOR_4_lag8 numeric
@attribute PESO_6_lag8 numeric
@attribute VALOR_6_lag8 numeric
@attribute PESO_13_lag8 numeric
@attribute VALOR_14_lag8 numeric
@attribute VALOR_16_lag8 numeric
@attribute PESO_19_lag8 numeric
@attribute PESO_21_lag8 numeric
@attribute VALOR_1_lag7 numeric
@attribute PESO_3_lag7 numeric
@attribute PESO_6_lag7 numeric
@attribute VALOR_6_lag7 numeric
@attribute PESO_1_lag6 numeric
@attribute PESO_6_lag6 numeric
@attribute VALOR_6_lag6 numeric
@attribute VALOR_13_lag6 numeric
@attribute PESO_18_lag6 numeric
@attribute VALOR_1_lag5 numeric
@attribute PESO_3_lag5 numeric
@attribute PESO_4_lag5 numeric
@attribute PESO_12_lag5 numeric
@attribute VALOR_19_lag5 numeric
@attribute VALOR_1_lag4 numeric
@attribute PESO_2_lag4 numeric
@attribute VALOR_2_lag4 numeric
@attribute VALOR_13_lag4 numeric
@attribute PESO_19_lag3 numeric
@attribute VALOR_19_lag3 numeric
@attribute NUM_OPERACIONES_19_lag3 numeric
@attribute PESO_1_lag2 numeric
@attribute VALOR_1_lag2 numeric
@attribute PESO_2_lag2 numeric
@attribute PESO_5_lag2 numeric
@attribute PESO_13_lag2 numeric
@attribute VALOR_19_lag2 numeric
@attribute NUM_OPERACIONES_19_lag2 numeric
@attribute PESO_21_lag2 numeric
@attribute NUM_OPERACIONES_21_lag2 numeric
@attribute VALOR_22_lag2 numeric
@attribute PESO_3_lag1 numeric
@attribute VALOR_7_lag1 numeric
@attribute VALOR_22_lag1 numeric
@attribute VALOR_2_lag0 numeric
@attribute PESO_3_lag0 numeric
@attribute PESO_14_lag0 numeric
@attribute VALOR_14_lag0 numeric
@attribute PESO_20_lag0 numeric
@attribute VALOR_20_lag0 numeric
@attribute PESO_22_lag0 numeric
@attribute PESO_8_ahead2 numeric
@attribute PESO_8_ahead4 numeric
@attribute PESO_8_ahead3 numeric

@data
1484,19531,66873,143638,4155779,230837,516820.13,0,1447727,6493372.31,444362,1193,64545.32,500038,877979.94,2455.92,184541.36,105,409998,421632.82,88988,362817.79,0,4.46,78150.24,55005,44268,41020.21,3963593,42393,224233.91,587,75529,313793.86,349.52,192723,84238.84,4108531,217618,62,95298.94,32908.79,130697,304393.69,0,34069,77717.12,58,17036,51126.03,255211,1029,5,90621.52,52,43689,27,2117754.69,2604390,828503.13,2756566.53,438266.03,3480015,0,0,60164,69373.63,1440375,2724975,2613045,2532024
1366,11459,22842,65657,3138319,500038,877979.94,27,1198703,1608188.47,409998,187,3185.68,606667,840743.75,1473.55,105226.86,2062,685920,583072.45,42393,224233.91,44,4.95,50693.57,38643,71291,22339.94,2522715,75529,313793.86,6630,78129,342811.55,249.75,186357,32908.79,2936590,241065,8255646,123634.86,243845.94,185205,438761.73,0,39921,90621.52,52,17001,47084.54,110813,19371,24,79545.29,36,69527,26,2756566.53,3480015,2344853.62,4482450.64,237568.95,1950189,0,0,80829,86375.79,883962,2532024,2828411,2613045
1498,12158,32650,94866,1067706,606667,840743.75,0,1011141,3812957.3,685920,29,428.45,503768,832230.37,578.18,92303.36,587,189545,331653.58,75529,313793.86,12,62212.72,280549.52,38531,64676,84238.84,4108531,78129,342811.55,1684,215338,418859.15,0,34248,243845.94,2658460,199440,6223419,77717.12,51126.03,255211,620608.23,249.75,41580,79545.29,36,0,0,135941,552,0,65425.25,49,65717,21,4482450.64,1950189,1837807.93,1582670.81,327530.69,2519919,0,0,71119,103355.56,1080091,2613045,2218496,2828411
1610,28462,34089,92569,2041205,503768,832230.37,44,1276184,8669278.36,189545,573,53013.97,693137,1192055.67,0,101545.32,6630,217618,312038.54,78129,342811.55,5,67854.2,34166.28,40679,46668,32908.79,2936590,215338,418859.15,101870,160939,489253.85,0,26368,51126.03,2412506,659723,44481,90621.52,47084.54,110813,340936.98,975.22,34849,65425.25,49,2000,8489.9,102450,43505,6008,87151.41,46,27101,36,1582670.81,2519919,1496609.4,1496773.47,361519.44,2224967,64,74.75,99205,109192.22,735355,2828411,2455954,2218496
1717,21786,29195,77189,1185563,693137,1192055.67,12,1204089,5347715.15,217618,635,20140.22,298560,551420.14,44.9,95298.94,1684,241065,339246.04,215338,418859.15,0,8353.69,310213.91,51097,83912,243845.94,2658460,160939,489253.85,17036,159034,587647.93,249.75,25554,47084.54,2604390,225647,12860812,79545.29,0,135941,438266.03,0,41417,87151.41,46,0,0,74962,1107,0,65983.8,48,44199,35,1496773.47,2224967,1862912.7,1361495.97,350681.69,2952080,10,100.56,65707,76507.03,752049,2218496,1700107,2455954
1846,545455,192723,86355,522566,298560,551420.14,5,1414412,5640647.76,241065,552,4619.08,415620,712998.23,22,123634.86,101870,199440,305915.67,160939,489253.85,0,4052.74,136555.26,34069,45050,51126.03,2412506,159034,587647.93,17001,132230,404178.42,975.22,24182,0,3480015,141836,256787,65425.25,8489.9,102450,237568.95,35331.62,29614,65983.8,48,2700,42208.93,252929,22510,0,155875.81,49,50004,45,1361495.97,2952080,2906669.79,1741482.85,441468.15,2458775,172,165.76,75700,82114.92,1009582,2455954,2209291,1700107
1850,15272,186357,86338,483511,415620,712998.23,0,524732,5985232.27,199440,523,9102.11,458369,865520.8,0,77717.12,17036,659723,595368.81,159034,587647.93,5,52.16,103959.88,39921,43689,47084.54,2604390,132230,404178.42,0,171731,422897.86,0,26001,8489.9,1950189,188678,4819602,87151.41,0,74962,327530.69,0,48652,155875.81,49,2000,14000,94778,551,0,88474.03,348,47244,121,1741482.85,2458775,1856177.62,1454869.45,268627.52,2286615,0,0,120337,143441.29,1390818,1700107,2649758,2209291
1976,57403,34248,132588,3487390,458369,865520.8,0,1808937,6199241.54,659723,1029,48191.85,387928,686482.52,28,90621.52,17001,225647,370278.74,132230,404178.42,24,0,118634.36,41580,69527,0,3480015,171731,422897.86,2000,76514,270164.29,35331.62,41235,0,2519919,137461,5546,65983.8,42208.93,252929,361519.44,0,41543,88474.03,348,39953,97092.68,316817,1248,400,92561.84,336,22980,167,1454869.45,2286615,857588.29,2794516.46,245927.8,2428946,8,16.02,77365,91002.79,1270742,2209291,4655949,2649758
2233,42629,26368,85543,370727,387928,686482.52,5,1298093,10058530.25,225647,19371,100656.17,457138,768531.69,7008.48,79545.29,0,141836,230892.06,171731,422897.86,0,0,70932.9,34849,65717,8489.9,1950189,76514,270164.29,0,60491,260242.76,0,24945,42208.93,2224967,139512,72285,155875.81,14000,94778,350681.69,0,45951,92561.84,336,529,11261.3,132242,826,200,121769.8,342,52798,176,2794516.46,2428946,738247.03,4323053.04,249969.87,2933278,187738,62650.69,73581,90332.68,820571,2649758,5650392,4655949
1322,40055,25554,4485307,872888,457138,768531.69,24,1339104,5817757.11,141836,552,26646.63,191601,548011.7,44,65425.25,2000,188678,257511.91,76514,270164.29,6008,0,61334.01,41417,27101,0,2519919,60491,260242.76,2700,71665,349717.52,0,43353,14000,2952080,133677,29643,88474.03,97092.68,316817,441468.15,4724,736324,121769.8,342,0,0,43902,159,10,165427.15,313,67954,188,4323053.04,2933278,177614.13,1729342.32,399049.58,3322588,313533,143797.92,68049,90535.65,1179117,4655949,4341390,5650392
