@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R18,27,33,37,86,114,131,191,205,208,244-245,257,285,318,326,345,362,365,402,422,457,460,545,551,573,587,596,599,615,617,628,640,643,653,656,661,664,667,670,673,676,720,747,750,753,756,797,807,827,830-831,833,856,877,928'

@attribute NUM_OPERACIONES_6_lag11 numeric
@attribute NUM_OPERACIONES_9_lag11 numeric
@attribute NUM_OPERACIONES_11_lag11 numeric
@attribute PESO_13_lag11 numeric
@attribute NUM_OPERACIONES_3_lag10 numeric
@attribute PESO_13_lag10 numeric
@attribute NUM_OPERACIONES_18_lag10 numeric
@attribute PESO_13_lag9 numeric
@attribute NUM_OPERACIONES_17_lag9 numeric
@attribute NUM_OPERACIONES_18_lag9 numeric
@attribute PESO_5_lag8 numeric
@attribute VALOR_5_lag8 numeric
@attribute VALOR_9_lag8 numeric
@attribute NUM_OPERACIONES_18_lag8 numeric
@attribute PESO_4_lag7 numeric
@attribute NUM_OPERACIONES_6_lag7 numeric
@attribute PESO_13_lag7 numeric
@attribute NUM_OPERACIONES_18_lag7 numeric
@attribute NUM_OPERACIONES_19_lag7 numeric
@attribute VALOR_6_lag6 numeric
@attribute PESO_13_lag6 numeric
@attribute p_mes_lag6 numeric
@attribute w_racha_dir_lag6 numeric
@attribute NUM_OPERACIONES_2_lag4 numeric
@attribute NUM_OPERACIONES_4_lag4 numeric
@attribute PESO_12_lag4 numeric
@attribute NUM_OPERACIONES_16_lag4 numeric
@attribute NUM_OPERACIONES_19_lag4 numeric
@attribute NUM_OPERACIONES_20_lag4 numeric
@attribute w_racha_speed_lag4 numeric
@attribute PESO_1_lag3 numeric
@attribute NUM_OPERACIONES_4_lag3 numeric
@attribute NUM_OPERACIONES_8_lag3 numeric
@attribute NUM_OPERACIONES_9_lag3 numeric
@attribute PESO_13_lag3 numeric
@attribute PESO_14_lag3 numeric
@attribute NUM_OPERACIONES_15_lag3 numeric
@attribute NUM_OPERACIONES_16_lag3 numeric
@attribute NUM_OPERACIONES_17_lag3 numeric
@attribute NUM_OPERACIONES_18_lag3 numeric
@attribute NUM_OPERACIONES_19_lag3 numeric
@attribute NUM_OPERACIONES_20_lag3 numeric
@attribute NUM_OPERACIONES_9_lag2 numeric
@attribute NUM_OPERACIONES_18_lag2 numeric
@attribute NUM_OPERACIONES_19_lag2 numeric
@attribute NUM_OPERACIONES_20_lag2 numeric
@attribute NUM_OPERACIONES_21_lag2 numeric
@attribute NUM_OPERACIONES_9_lag1 numeric
@attribute PESO_13_lag1 numeric
@attribute NUM_OPERACIONES_19_lag1 numeric
@attribute NUM_OPERACIONES_20_lag1 numeric
@attribute PESO_21_lag1 numeric
@attribute NUM_OPERACIONES_21_lag1 numeric
@attribute NUM_OPERACIONES_3_lag0 numeric
@attribute NUM_OPERACIONES_10_lag0 numeric
@attribute PESO_8_ahead4 numeric

@data
73,22,3,55,1366,0,66,27,44,105,187,3185.68,840743.75,111,685920,83,44,81,47,313793.86,12,3.65,7.5,32,38,8255646,9,53,24,23.3,101870,41,96,20,0,416,6,13,73,84,58,23,18,83,52,23,27,20,24,36,20,69527,26,1646,10,2613045
67,19,1,0,1498,27,105,0,49,111,29,428.45,832230.37,81,189545,65,12,77,50,342811.55,5,0,9,45,41,6223419,13,58,23,18.9,17036,41,85,18,5,31,15,12,49,83,52,23,20,67,36,20,26,13,0,49,19,65717,21,1180,14,2828411
68,22,1,27,1610,0,111,44,55,81,573,53013.97,1192055.67,77,217618,73,5,76,48,418859.15,0,0,8,42,41,44481,12,52,23,27.5,17001,40,80,20,24,0,5,7,44,67,36,20,13,88,49,19,21,14,6008,46,25,27101,36,1344,8,2218496
73,26,1,0,1717,44,81,12,50,77,635,20140.22,551420.14,76,241065,71,0,74,53,489253.85,0,30.1,8,31,40,12860812,7,36,20,25.6,0,35,110,13,0,0,5,6,69,88,49,19,14,77,46,25,36,16,0,48,19,44199,35,1719,18,2455954
83,25,3,44,1846,12,77,5,43,76,552,4619.08,712998.23,74,199440,65,0,84,58,587647.93,5,19.5,25,52,35,256787,6,49,19,20.3,2000,36,85,14,6008,0,6,4,59,77,46,25,16,64,48,19,35,13,0,49,22,50004,45,1840,17,1700107
65,21,0,12,1850,5,76,0,45,74,523,9102.11,865520.8,84,659723,98,5,83,52,404178.42,24,109.633333,24,35,36,4819602,4,46,25,21.7,0,41,115,16,0,0,8,11,52,64,48,19,13,68,49,22,45,31,0,348,126,47244,121,1711,15,2209291
73,15,1,5,1976,0,74,0,73,84,1029,48191.85,686482.52,83,225647,90,24,67,36,422897.86,0,45,7,28,41,5546,11,48,19,22.8,2700,33,108,13,0,64,12,5,58,68,49,22,31,131,348,126,121,32,400,336,172,22980,167,2016,17,2649758
71,22,1,0,2233,0,84,5,49,83,19371,100656.17,768531.69,67,141836,81,0,88,49,270164.29,6008,40.8,26,59,33,72285,5,49,22,25.3,2000,174,107,31,0,10,25,123,84,131,348,126,32,109,336,172,167,33,200,342,166,52798,176,1720,14,4655949
65,20,0,0,1322,5,83,24,44,67,552,26646.63,548011.7,88,188678,47,6008,77,46,260242.76,0,35.5,8,86,174,29643,123,348,126,26.4,39953,156,113,32,400,172,15,119,78,109,336,172,33,115,342,166,176,31,10,313,154,67954,188,2123,46,5650392
98,18,1,5,1506,24,67,0,69,88,43505,181107.86,749606.91,77,137461,67,0,64,48,349717.52,0,169.2,9,87,156,75956,119,336,172,21.7,529,145,85,33,200,0,24,102,99,115,342,166,31,89,313,154,188,28,230,325,162,28242,188,1511,16,4341390
90,20,2,24,1646,0,88,6008,59,77,1107,63296.53,490356.57,64,139512,71,0,68,49,251952.59,0,14,7,97,145,64713,102,342,166,22.2,0,177,96,31,10,8,17,107,95,89,313,154,28,104,325,162,188,31,0,327,163,44707,152,1690,17,3371997
81,13,2,0,1180,6008,77,0,52,64,22510,91017.51,799378.13,68,133677,50,0,131,348,327853,400,6,8,98,177,20001427,107,313,154,22.5,0,167,76,28,230,187738,18,100,100,104,325,162,31,104,327,163,152,36,0,345,140,25208,167,1846,22,5933294
47,14,0,6008,1344,0,64,0,58,68,551,41644.74,500402.77,131,103458,88,400,109,336,274937.74,200,12.5,7,86,167,20694062,100,325,162,21.9,16000,153,86,31,0,313533,20,98,79,104,327,163,36,116,345,140,167,37,200,351,146,27901,146,2048,27,6545056
67,16,1,0,1719,0,68,0,84,131,1248,22151.35,816854.08,109,5475,66,200,115,342,306142.15,10,0,6,92,153,6743345,98,327,163,19.4,1,154,103,36,0,50195,14,97,84,116,345,140,37,121,351,146,146,22,58080,684,189,130863,301,1933,28,6273612
71,13,3,0,1840,0,131,400,78,109,826,49362.51,639226.88,115,526731,70,10,89,313,360855.38,230,0.3,8,90,154,4302,97,345,140,16.9,18054,163,103,37,200,5,12,132,86,121,351,146,22,154,684,189,301,44,0,326,157,19664,182,1444,25,3769702
50,31,17,0,1711,400,109,200,99,115,159,3437.58,1018063.8,89,547240,45,230,104,325,402245.56,0,2.2,9,81,163,31816,132,351,146,23.6,838,25,165,22,58080,31105,6,37,135,154,684,189,44,104,326,157,182,27,450,326,144,33979,163,1859,33,2216324
88,32,10,400,2016,200,115,10,95,89,257,4643.49,974217.06,104,1112172,96,0,104,327,496463.74,0,89.2,8,31,25,34000,37,684,189,21.9,40,149,135,44,0,0,16,105,84,104,326,157,27,110,326,144,163,37,0,337,177,37689,253,1963,21,1798532
66,33,13,200,1720,10,89,230,100,104,126,6390.12,611353.41,104,80833,89,0,116,345,389519.41,200,21.7,10,84,149,8801628,105,326,157,26.1,0,176,115,27,450,8,15,106,79,110,326,144,37,119,337,177,253,41,0,335,158,83412,201,2247,18,3732375
70,31,9,10,2123,230,104,0,79,104,55,3168.93,770023,116,149275,75,200,121,351,355449.56,58080,0,8,77,176,12027661,106,326,144,25.6,1,156,134,37,0,627,16,104,121,119,337,177,41,114,335,158,201,40,1,346,155,58563,175,1865,26,4799001
