@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R18,41-42,95,104,114,163,176,191,208,231,240,268,282,321-322,362,395,422,439,479,499,534,628,650,673,676,705,717,720,730,733,741,744,747,750,753,797,818,824,827,830,833,884,904,907-908,910,929'

@attribute NUM_OPERACIONES_6_lag11 numeric
@attribute VALOR_14_lag11 numeric
@attribute NUM_OPERACIONES_14_lag11 numeric
@attribute NUM_OPERACIONES_6_lag10 numeric
@attribute NUM_OPERACIONES_9_lag10 numeric
@attribute PESO_13_lag10 numeric
@attribute NUM_OPERACIONES_3_lag9 numeric
@attribute PESO_8_lag9 numeric
@attribute PESO_13_lag9 numeric
@attribute NUM_OPERACIONES_18_lag9 numeric
@attribute PIB_lag9 numeric
@attribute NUM_OPERACIONES_3_lag8 numeric
@attribute PESO_13_lag8 numeric
@attribute NUM_OPERACIONES_17_lag8 numeric
@attribute PESO_5_lag7 numeric
@attribute VALOR_5_lag7 numeric
@attribute NUM_OPERACIONES_18_lag7 numeric
@attribute PESO_4_lag6 numeric
@attribute PESO_13_lag6 numeric
@attribute NUM_OPERACIONES_18_lag6 numeric
@attribute VALOR_6_lag5 numeric
@attribute PESO_13_lag5 numeric
@attribute p_mes_lag5 numeric
@attribute NUM_OPERACIONES_4_lag3 numeric
@attribute PESO_12_lag3 numeric
@attribute NUM_OPERACIONES_19_lag3 numeric
@attribute NUM_OPERACIONES_20_lag3 numeric
@attribute NUM_OPERACIONES_4_lag2 numeric
@attribute NUM_OPERACIONES_8_lag2 numeric
@attribute NUM_OPERACIONES_9_lag2 numeric
@attribute PESO_13_lag2 numeric
@attribute PESO_14_lag2 numeric
@attribute NUM_OPERACIONES_16_lag2 numeric
@attribute NUM_OPERACIONES_17_lag2 numeric
@attribute NUM_OPERACIONES_18_lag2 numeric
@attribute NUM_OPERACIONES_19_lag2 numeric
@attribute NUM_OPERACIONES_20_lag2 numeric
@attribute NUM_OPERACIONES_9_lag1 numeric
@attribute NUM_OPERACIONES_16_lag1 numeric
@attribute NUM_OPERACIONES_18_lag1 numeric
@attribute NUM_OPERACIONES_19_lag1 numeric
@attribute NUM_OPERACIONES_20_lag1 numeric
@attribute NUM_OPERACIONES_21_lag1 numeric
@attribute PESO_13_lag0 numeric
@attribute NUM_OPERACIONES_19_lag0 numeric
@attribute NUM_OPERACIONES_20_lag0 numeric
@attribute PESO_21_lag0 numeric
@attribute NUM_OPERACIONES_21_lag0 numeric
@attribute PESO_8_ahead5 numeric

@data
73,0,0,67,19,0,1498,5409042,27,105,315945,1610,0,49,29,428.45,81,189545,12,77,342811.55,5,0,41,6223419,58,23,41,85,18,5,31,12,49,83,52,23,20,7,67,36,20,26,0,49,19,65717,21,2828411
67,34545.25,2,68,22,27,1610,3577522,0,111,297470,1717,44,55,573,53013.97,77,217618,5,76,418859.15,0,0,41,44481,52,23,40,80,20,24,0,7,44,67,36,20,13,6,88,49,19,21,6008,46,25,27101,36,2218496
68,13546.11,2,73,26,0,1717,4960589,44,81,297470,1846,12,50,635,20140.22,76,241065,0,74,489253.85,0,30.1,40,12860812,36,20,35,110,13,0,0,6,69,88,49,19,14,4,77,46,25,36,0,48,19,44199,35,2455954
73,4.46,1,83,25,44,1846,3183716,12,77,297470,1850,5,43,552,4619.08,74,199440,0,84,587647.93,5,19.5,35,256787,49,19,36,85,14,6008,0,4,59,77,46,25,16,11,64,48,19,35,0,49,22,50004,45,1700107
83,4.95,1,65,21,12,1850,3571043,5,76,305414,1976,0,45,523,9102.11,84,659723,5,83,404178.42,24,109.633333,36,4819602,46,25,41,115,16,0,0,11,52,64,48,19,13,5,68,49,22,45,0,348,126,47244,121,2209291
65,62212.72,6,73,15,5,1976,2264675,0,74,305414,2233,0,73,1029,48191.85,83,225647,24,67,422897.86,0,45,41,5546,48,19,33,108,13,0,64,5,58,68,49,22,31,123,131,348,126,121,400,336,172,22980,167,2649758
73,67854.2,7,71,22,0,2233,2628656,0,84,305414,1322,5,49,19371,100656.17,67,141836,0,88,270164.29,6008,40.8,33,72285,49,22,174,107,31,0,10,123,84,131,348,126,32,119,109,336,172,167,200,342,166,52798,176,4655949
71,8353.69,3,65,20,0,1322,2915206,5,83,288049,1506,24,44,552,26646.63,88,188678,6008,77,260242.76,0,35.5,174,29643,348,126,156,113,32,400,172,119,78,109,336,172,33,102,115,342,166,176,10,313,154,67954,188,5650392
65,4052.74,2,98,18,5,1506,2130878,24,67,288049,1646,0,69,43505,181107.86,77,137461,0,64,349717.52,0,169.2,156,75956,336,172,145,85,33,200,0,102,99,115,342,166,31,107,89,313,154,188,230,325,162,28242,188,4341390
98,52.16,2,90,20,24,1646,2842649,0,88,288049,1180,6008,59,1107,63296.53,64,139512,0,68,251952.59,0,14,145,64713,342,166,177,96,31,10,8,107,95,89,313,154,28,100,104,325,162,188,0,327,163,44707,152,3371997
90,0,0,81,13,0,1180,2021697,6008,77,305396,1344,0,52,22510,91017.51,68,133677,0,131,327853,400,6,177,20001427,313,154,167,76,28,230,187738,100,100,104,325,162,31,98,104,327,163,152,0,345,140,25208,167,5933294
81,0,0,47,14,6008,1344,2724975,0,64,305396,1719,0,58,551,41644.74,131,103458,400,109,274937.74,200,12.5,167,20694062,325,162,153,86,31,0,313533,98,79,104,327,163,36,97,116,345,140,167,200,351,146,27901,146,6545056
47,0,0,67,16,0,1719,2532024,0,68,305396,1840,0,84,1248,22151.35,109,5475,200,115,306142.15,10,0,153,6743345,327,163,154,103,36,0,50195,97,84,116,345,140,37,132,121,351,146,146,58080,684,189,130863,301,6273612
67,0,0,71,13,0,1840,2613045,0,131,287460,1711,400,78,826,49362.51,115,526731,10,89,360855.38,230,0.3,154,4302,345,140,163,103,37,200,5,132,86,121,351,146,22,37,154,684,189,301,0,326,157,19664,182,3769702
71,74.75,1,50,31,0,1711,2828411,400,109,287460,2016,200,99,159,3437.58,89,547240,230,104,402245.56,0,2.2,163,31816,351,146,25,165,22,58080,31105,37,135,154,684,189,44,105,104,326,157,182,450,326,144,33979,163,2216324
50,100.56,3,88,32,400,2016,2218496,200,115,287460,1720,10,95,257,4643.49,104,1112172,0,104,496463.74,0,89.2,25,34000,684,189,149,135,44,0,0,105,84,104,326,157,27,106,110,326,144,163,0,337,177,37689,253,1798532
88,165.76,3,66,33,200,1720,2455954,10,89,295595,2123,230,100,126,6390.12,104,80833,0,116,389519.41,200,21.7,149,8801628,326,157,176,115,27,450,8,106,79,110,326,144,37,104,119,337,177,253,0,335,158,83412,201,3732375
66,0,0,70,31,10,2123,1700107,230,104,295595,1511,0,79,55,3168.93,116,149275,200,121,355449.56,58080,0,176,12027661,326,144,156,134,37,0,627,104,121,119,337,177,41,112,114,335,158,201,1,346,155,58563,175,4799001
70,16.02,1,45,28,230,1511,2209291,0,104,295595,1690,0,84,22231,221983.14,121,128886,58080,154,171660.78,0,48.8,156,25268862,337,177,159,92,41,0,96,112,91,114,335,158,40,112,135,346,155,175,50,332,149,24070,193,8419038
45,62650.69,6,96,31,0,1690,2649758,0,116,277868,1846,200,86,294,4954.4,154,92984,0,104,281812.97,450,77.1,159,4902846,335,158,163,165,40,1,24423,112,107,135,346,155,36,104,102,332,149,193,64,291,141,66805,156,3696543
96,143797.92,17,89,36,0,1846,4655949,200,121,277868,2048,58080,135,89,2884.2,104,344169,450,110,372821.04,0,42,163,3000096,346,155,151,106,36,50,24049,104,93,102,332,149,37,97,104,291,141,156,6,333,160,30582,189,1015856
89,23580.51,5,75,37,200,2048,5650392,58080,154,277868,1933,0,84,469,9899.97,110,390348,0,119,394979.23,0,60.9,151,1101100,332,149,157,94,37,64,817,97,96,104,291,141,39,110,146,333,160,189,476,362,150,39672,200,1791627
75,57,1,98,22,58080,1933,4341390,0,104,291178,1444,450,79,7173,37984.09,119,334325,0,114,346879.2,1,49.3,157,66,291,141,165,74,39,6,24072,110,116,146,333,160,38,118,124,362,150,200,0,370,164,25828,241,4960501
