@relation 'DP-weka.filters.unsupervised.attribute.Remove-V-R10,55-56,84,87,117-118,170,189,200,215-216,222,231,238,253,277-278,283,289-290,308,317,327,333-334,345,360-361,372,398-399,410-411,416-417,441,463,472-473,476,478-479,499,502-503,509,517,540-541,555-556,594,601,617,632-633,678,693,700,727,739,749,770,772,774-775,787,808,902-903,905-906,912,929-930'

@attribute PESO_4_lag11 numeric
@attribute PESO_19_lag11 numeric
@attribute VALOR_19_lag11 numeric
@attribute PESO_3_lag10 numeric
@attribute PESO_4_lag10 numeric
@attribute PESO_14_lag10 numeric
@attribute VALOR_14_lag10 numeric
@attribute PESO_6_lag9 numeric
@attribute VALOR_12_lag9 numeric
@attribute PESO_16_lag9 numeric
@attribute PESO_21_lag9 numeric
@attribute VALOR_21_lag9 numeric
@attribute VALOR_23_lag9 numeric
@attribute PIB_lag9 numeric
@attribute PESO_3_lag8 numeric
@attribute PESO_8_lag8 numeric
@attribute PESO_16_lag8 numeric
@attribute VALOR_16_lag8 numeric
@attribute PESO_18_lag8 numeric
@attribute PESO_20_lag8 numeric
@attribute VALOR_20_lag8 numeric
@attribute PIB_lag8 numeric
@attribute NUM_OPERACIONES_3_lag7 numeric
@attribute PESO_7_lag7 numeric
@attribute PESO_9_lag7 numeric
@attribute VALOR_9_lag7 numeric
@attribute PESO_13_lag7 numeric
@attribute PESO_18_lag7 numeric
@attribute VALOR_18_lag7 numeric
@attribute PESO_22_lag7 numeric
@attribute PESO_5_lag6 numeric
@attribute VALOR_5_lag6 numeric
@attribute PESO_9_lag6 numeric
@attribute VALOR_9_lag6 numeric
@attribute PESO_11_lag6 numeric
@attribute VALOR_11_lag6 numeric
@attribute VALOR_19_lag6 numeric
@attribute PESO_1_lag5 numeric
@attribute PESO_4_lag5 numeric
@attribute VALOR_4_lag5 numeric
@attribute VALOR_5_lag5 numeric
@attribute PESO_6_lag5 numeric
@attribute VALOR_6_lag5 numeric
@attribute PESO_13_lag5 numeric
@attribute PESO_14_lag5 numeric
@attribute VALOR_14_lag5 numeric
@attribute VALOR_16_lag5 numeric
@attribute PESO_19_lag5 numeric
@attribute PESO_1_lag4 numeric
@attribute VALOR_1_lag4 numeric
@attribute PESO_6_lag4 numeric
@attribute VALOR_6_lag4 numeric
@attribute PESO_19_lag4 numeric
@attribute VALOR_21_lag4 numeric
@attribute PESO_1_lag3 numeric
@attribute PESO_6_lag3 numeric
@attribute VALOR_6_lag3 numeric
@attribute VALOR_21_lag3 numeric
@attribute PIB_lag3 numeric
@attribute PESO_3_lag2 numeric
@attribute PESO_12_lag2 numeric
@attribute PESO_16_lag2 numeric
@attribute VALOR_19_lag2 numeric
@attribute PIB_lag2 numeric
@attribute VALOR_1_lag1 numeric
@attribute PESO_2_lag1 numeric
@attribute VALOR_2_lag1 numeric
@attribute VALOR_6_lag1 numeric
@attribute VALOR_13_lag1 numeric
@attribute PESO_19_lag0 numeric
@attribute VALOR_19_lag0 numeric
@attribute PESO_20_lag0 numeric
@attribute VALOR_20_lag0 numeric
@attribute VALOR_22_lag0 numeric
@attribute PESO_8_ahead5 numeric
@attribute PESO_8_ahead6 numeric

@data
241076,62751,97386.64,2766260,187323,96000,34545.25,46103,1216508.93,12158,67635,112439.46,1608188.47,315945,3097984,3577522,28462,78150.24,34089,92569,112647.58,297470,1717,2041205,503768,832230.37,44,29195,88783.02,1276184,573,53013.97,693137,1192055.67,0,0,101545.32,6630,217618,312038.54,20140.22,78129,342811.55,5,208281,67854.2,34166.28,40679,1684,32908.79,215338,418859.15,51097,96442.52,101870,160939,489253.85,86975.48,305414,2412506,44481,40055,90621.52,288049,47084.54,110813,340936.98,404178.42,975.22,34849,65425.25,60164,69373.63,4482450.64,2828411,2218496
187323,50824,83255.82,2333843,444362,47196,13546.11,88988,1201124.38,28462,44268,81833.83,3812957.3,297470,3963593,4960589,21786,50693.57,29195,77189,108733.24,297470,1846,1185563,693137,1192055.67,12,192723,126107.12,1204089,635,20140.22,298560,551420.14,10,44.9,95298.94,1684,241065,339246.04,4619.08,215338,418859.15,0,25654,8353.69,310213.91,51097,101870,243845.94,160939,489253.85,34069,86975.48,17036,159034,587647.93,85302.97,288049,2604390,12860812,44103,79545.29,288049,0,135941,438266.03,422897.86,0,41417,87151.41,80829,86375.79,1582670.81,2218496,2455954
444362,107387,184541.36,3097984,409998,3,4.46,42393,2636220.25,21786,71291,112194.13,8669278.36,297470,2522715,3183716,545455,280549.52,192723,86355,104334.73,297470,1850,522566,298560,551420.14,5,186357,71473.86,1414412,552,4619.08,415620,712998.23,5,22,123634.86,101870,199440,305915.67,9102.11,160939,489253.85,0,416,4052.74,136555.26,34069,17036,51126.03,159034,587647.93,39921,85302.97,17001,132230,404178.42,83459.77,288049,3480015,256787,30769,65425.25,288049,8489.9,102450,237568.95,270164.29,35331.62,29614,65983.8,71119,103355.56,1496773.47,2455954,1700107
409998,55005,105226.86,3963593,685920,3,4.95,75529,38862.69,545455,64676,128199.72,5347715.15,297470,4108531,3571043,15272,34166.28,186357,86338,128309.06,305414,1976,483511,415620,712998.23,0,34248,133720.14,524732,523,9102.11,458369,865520.8,0,0,77717.12,17036,659723,595368.81,48191.85,159034,587647.93,5,31,52.16,103959.88,39921,17001,47084.54,132230,404178.42,41580,83459.77,0,171731,422897.86,100302.51,288049,1950189,4819602,24371,87151.41,305396,0,74962,327530.69,260242.76,0,48652,155875.81,99205,109192.22,1361495.97,1700107,2209291
685920,38643,92303.36,2522715,189545,238800,62212.72,78129,10346.71,15272,46668,82392.08,5640647.76,305414,2936590,2264675,57403,310213.91,34248,132588,164203.62,305414,2233,3487390,458369,865520.8,0,26368,88221.58,1808937,1029,48191.85,387928,686482.52,7,28,90621.52,17001,225647,370278.74,100656.17,132230,404178.42,24,0,0,118634.36,41580,0,0,171731,422897.86,34849,100302.51,2000,76514,270164.29,43791.68,305396,2519919,5546,15465,65983.8,305396,42208.93,252929,361519.44,349717.52,0,41543,88474.03,65707,76507.03,1741482.85,2209291,2649758
189545,38531,101545.32,4108531,217618,208281,67854.2,215338,3316566.41,57403,83912,96442.52,5985232.27,305414,2658460,2628656,42629,136555.26,26368,85543,110330.23,305414,1322,370727,387928,686482.52,5,25554,83245.74,1298093,19371,100656.17,457138,768531.69,18732,7008.48,79545.29,0,141836,230892.06,26646.63,171731,422897.86,0,0,0,70932.9,34849,2000,8489.9,76514,270164.29,41417,43791.68,0,60491,260242.76,89754.32,305396,2224967,72285,44547,155875.81,305396,14000,94778,350681.69,251952.59,0,45951,92561.84,75700,82114.92,1454869.45,2649758,4655949
217618,40679,95298.94,2936590,241065,25654,8353.69,160939,1962342.34,42629,45050,86975.48,6199241.54,305414,2412506,2915206,40055,103959.88,25554,4485307,1219691.61,288049,1506,872888,457138,768531.69,24,24182,40190.06,1339104,552,26646.63,191601,548011.7,10,44,65425.25,2000,188678,257511.91,181107.86,76514,270164.29,6008,0,0,61334.01,41417,0,0,60491,260242.76,29614,89754.32,2700,71665,349717.52,139159.92,305396,2952080,29643,19603,88474.03,287460,97092.68,316817,441468.15,327853,4724,736324,121769.8,120337,143441.29,2794516.46,4655949,5650392
241065,51097,123634.86,2658460,199440,416,4052.74,159034,216697.53,40055,43689,85302.97,10058530.25,288049,2604390,2130878,44103,118634.36,24182,70125,81019.23,288049,1646,5614224,191601,548011.7,0,26001,78376.61,1440375,43505,181107.86,367543,749606.91,0,0,87151.41,0,137461,294683.31,63296.53,60491,260242.76,0,0,0,46562.74,29614,2700,42208.93,71665,349717.52,48652,139159.92,2000,55843,251952.59,89954.29,287460,2458775,75956,27337,92561.84,287460,11261.3,132242,268627.52,274937.74,17808.96,75157,165427.15,77365,91002.79,4323053.04,5650392,4341390
199440,34069,77717.12,2412506,659723,31,52.16,132230,3991256.95,44103,69527,83459.77,5817757.11,288049,3480015,2842649,30769,70932.9,26001,60164,69373.63,288049,1180,3253263,367543,749606.91,6008,41235,183803.88,883962,1107,63296.53,235563,490356.57,12,54,65983.8,2700,139512,238468.01,91017.51,71665,349717.52,0,64,74.75,92210.44,48652,2000,14000,55843,251952.59,41543,89954.29,39953,64638,327853,62028.74,287460,2286615,64713,35122,121769.8,287460,0,43902,245927.8,306142.15,499.5,84152,305490.19,73581,90332.68,1729342.32,4341390,3371997
659723,39921,90621.52,2604390,225647,0,0,171731,175245.26,30769,65717,100302.51,10327555.47,288049,1950189,2021697,24371,61334.01,41235,80829,86375.79,305396,1344,2556898,235563,490356.57,0,24945,52634.11,1080091,22510,91017.51,347303,799378.13,35,178,155875.81,2000,133677,232682.21,41644.74,55843,251952.59,0,10,100.56,63346.45,41543,39953,97092.68,64638,327853,45951,62028.74,529,43366,274937.74,143771.65,287460,2428946,20001427,27450,165427.15,295595,0,36142,249969.87,360855.38,2386.59,76713,183115.55,68049,90535.65,2848835.22,3371997,5933294
