,VALOR_14_lag10,PESO_5_lag9,PESO_16_lag9,VALOR_18_lag9,PESO_21_lag8,VALOR_21_lag8,NUM_OPERACIONES_3_lag7,PESO_18_lag7,PESO_19_lag7,VALOR_21_lag6,PESO_4_lag5,PESO_5_lag5,PESO_13_lag5,VALOR_15_lag5,PESO_1_lag4,PESO_6_lag4,VALOR_11_lag4,VALOR_6_lag3,PESO_5_lag2,NUM_OPERACIONES_21_lag2,NUM_OPERACIONES_8_lag1,PESO_9_lag1,PESO_18_lag1,VALOR_16_lag0,PESO_18_lag11,VALOR_14_lag10,NUM_OPERACIONES_6_lag9,PESO_13_lag9,VALOR_14_lag9,PESO_16_lag8,VALOR_18_lag8,VALOR_1_lag7,NUM_OPERACIONES_3_lag7,VALOR_9_lag7,PESO_18_lag7,PESO_21_lag7,VALOR_21_lag7,NUM_OPERACIONES_3_lag6,VALOR_13_lag6,PESO_18_lag6,PESO_19_lag6,PESO_13_lag4,VALOR_15_lag4,VALOR_11_lag3,VALOR_14_lag3,VALOR_6_lag2,VALOR_21_lag2,PESO_5_lag1,PESO_21_lag1,NUM_OPERACIONES_21_lag1,NUM_OPERACIONES_2_lag0,NUM_OPERACIONES_8_lag0,PESO_10_lag0,PESO_13_lag0,PESO_18_lag0,PESO_22_lag11,w_racha_dir_lag10,NUM_OPERACIONES_1_lag9,NUM_OPERACIONES_13_lag9,NUM_OPERACIONES_6_lag8,w_med_lag8,NUM_OPERACIONES_14_lag7,NUM_OPERACIONES_1_lag6,NUM_OPERACIONES_3_lag6,NUM_OPERACIONES_14_lag6,NUM_OPERACIONES_5_lag5,NUM_OPERACIONES_15_lag5,NUM_OPERACIONES_1_lag4,VALOR_4_lag4,PESO_15_lag3,NUM_OPERACIONES_15_lag3,w_racha_speed_lag3,NUM_OPERACIONES_5_lag2,NUM_OPERACIONES_12_lag2,NUM_OPERACIONES_14_lag2,NUM_OPERACIONES_5_lag1,w_racha_speed_lag1,NUM_OPERACIONES_11_lag0,NUM_OPERACIONES_17_lag0,w_racha_speed_lag0,PESO_3_lag11,PESO_11_lag11,VALOR_11_lag11,VALOR_15_lag11,PESO_18_lag11,VALOR_1_lag10,PESO_9_lag10,PESO_18_lag10,PESO_21_lag10,VALOR_21_lag10,PESO_22_lag10,VALOR_3_lag9,PESO_7_lag9,PESO_11_lag9,VALOR_11_lag9,VALOR_13_lag9,PESO_21_lag9,VALOR_21_lag9,PESO_19_lag8,VALOR_4_lag7,PESO_11_lag7,VALOR_11_lag7,VALOR_22_lag7,PESO_1_lag6,PESO_16_lag6,PESO_18_lag6,PESO_20_lag6,VALOR_4_lag5,PESO_9_lag5,VALOR_9_lag5,PESO_18_lag5,PESO_21_lag5,VALOR_21_lag5,PESO_18_lag4,VALOR_18_lag4,PESO_19_lag4,VALOR_2_lag3,PESO_4_lag3,VALOR_4_lag3,VALOR_3_lag2,VALOR_4_lag2,PESO_15_lag2,PESO_18_lag2,VALOR_18_lag2,PESO_1_lag1,PESO_4_lag1,VALOR_8_lag1,PESO_11_lag1,VALOR_11_lag1,PESO_14_lag1,VALOR_14_lag1,VALOR_18_lag1,VALOR_19_lag1,VALOR_6_lag0,VALOR_9_lag0,PESO_18_lag0,VALOR_18_lag0,NUM_OPERACIONES_14_lag11,w_racha_speed_lag11,PESO_15_lag10,hr_lag10,PIB_lag10,VALOR_21_lag9,PESO_22_lag9,VALOR_11_lag8,NUM_OPERACIONES_13_lag7,NUM_OPERACIONES_14_lag5,hr_lag5,VALOR_4_lag4,NUM_OPERACIONES_5_lag3,VALOR_4_lag2,VALOR_15_lag1,VALOR_8_lag0,NUM_OPERACIONES_14_lag0,VALOR_18_lag0,VALOR_19_lag0,PESO_1_lag11,VALOR_3_lag11,VALOR_6_lag11,NUM_OPERACIONES_12_lag10,NUM_OPERACIONES_14_lag10,PESO_17_lag10,w_med_lag10,hr_lag10,hr_lag9,PESO_22_lag8,VALOR_3_lag7,VALOR_11_lag7,NUM_OPERACIONES_1_lag6,NUM_OPERACIONES_13_lag6,VALOR_14_lag5,hr_lag4,NUM_OPERACIONES_1_lag3,VALOR_4_lag3,PESO_21_lag3,NUM_OPERACIONES_5_lag2,VALOR_4_lag1,VALOR_15_lag0
Dic/14,34545.25,1193.0,12158.0,70692.53,44268.0,81833.83,1717.0,29195.0,38643.0,128199.72,217618.0,635.0,5.0,18269811.44,1684.0,215338.0,22.0,489253.85,1029.0,27.0,80.0,457138.0,24182.0,70932.9,66873.0,34545.25,68.0,27.0,13546.11,28462.0,92977.87,41020.21,1717.0,832230.37,29195.0,71291.0,112194.13,1846.0,349.52,192723.0,38531.0,0.0,8631309.52,0.0,4052.74,587647.93,85302.97,19371.0,69527.0,26.0,52.0,110.0,72212352.0,0.0,26001.0,1703954.0,24.0,4.0,3.0,73.0,22.0,1.0,3.0,1846.0,6.0,7.0,9.0,3.0,339246.04,2014330.0,6.0,18.9,9.0,12.0,2.0,12.0,25.6,2.0,69.0,20.3,1762044.0,105220.0,14937.01,16269.87,66873.0,15667.68,230837.0,22842.0,33642.0,99011.74,1447727.0,9376101.44,3138319.0,1500.0,2455.92,368.83,67635.0,112439.46,55005.0,583072.45,319.0,578.18,2685633.04,587.0,545455.0,192723.0,86355.0,312038.54,298560.0,551420.14,186357.0,46668.0,82392.08,34248.0,133720.14,51097.0,438761.73,199440.0,305915.67,11904027.88,595368.81,17819359.0,25554.0,83245.74,17001.0,225647.0,1432684.91,18732.0,7008.48,0.0,0.0,40190.06,79545.29,422897.86,548011.7,26001.0,78376.61,0.0,27.5,33410.0,72.0,315945.0,112439.46,1198703.0,1473.55,1.0,7.0,77.0,339246.04,7.0,595368.81,14019.28,2265157.4,0.0,78376.61,65425.25,0.0,7451234.36,279151.61,9.0,2.0,71545714.0,20.0,72.0,83.25,1011141.0,12011060.64,578.18,3.0,1.0,67854.2,79.0,6.0,305915.67,45050.0,9.0,370278.74,18047.94
Ene/15,13546.11,187.0,28462.0,92977.87,71291.0,112194.13,1846.0,192723.0,38531.0,82392.08,241065.0,552.0,0.0,8631309.52,101870.0,160939.0,0.0,587647.93,19371.0,26.0,110.0,191601.0,26001.0,61334.01,22842.0,13546.11,73.0,0.0,4.46,21786.0,88783.02,22339.94,1846.0,1192055.67,192723.0,64676.0,128199.72,1850.0,249.75,186357.0,40679.0,0.0,1277226.5,28.0,52.16,404178.42,83459.77,552.0,65717.0,21.0,35.0,85.0,37595941.0,6008.0,41235.0,1447727.0,9.0,2.0,0.0,83.0,27.0,6.0,14.0,1850.0,7.0,9.0,8.0,6.0,305915.67,17819359.0,15.0,27.5,12.0,11.0,0.0,14.0,20.3,0.0,59.0,21.7,2766260.0,1200.0,1964.74,22052.3,22842.0,20771.54,500038.0,32650.0,67635.0,112439.46,1198703.0,10280540.18,1067706.0,900.0,1473.55,0.0,44268.0,81833.83,38643.0,331653.58,0.0,0.0,2265681.81,6630.0,15272.0,186357.0,86338.0,339246.04,415620.0,712998.23,34248.0,83912.0,96442.52,26368.0,88221.58,34069.0,620608.23,659723.0,595368.81,12959686.76,370278.74,12690.0,24182.0,40190.06,0.0,141836.0,2265157.4,10.0,44.0,0.0,0.0,78376.61,65425.25,270164.29,749606.91,41235.0,183803.88,2.0,26.4,7968736.0,83.25,315945.0,81833.83,1011141.0,578.18,1.0,3.0,79.0,305915.67,9.0,370278.74,18047.94,1656258.41,0.0,183803.88,87151.41,1617.0,9851902.35,260493.1,12.0,2.0,36460907.0,24.0,83.25,77.0,1276184.0,8805179.86,0.0,14.0,1.0,8353.69,82.0,2.0,595368.81,43689.0,12.0,230892.06,4523028.81
Feb/15,4.46,29.0,21786.0,88783.02,64676.0,128199.72,1850.0,186357.0,40679.0,96442.52,199440.0,523.0,0.0,1277226.5,17036.0,159034.0,28.0,404178.42,552.0,21.0,85.0,367543.0,41235.0,46562.74,32650.0,4.46,83.0,44.0,4.95,545455.0,126107.12,84238.84,1850.0,551420.14,186357.0,46668.0,82392.08,1976.0,0.0,34248.0,51097.0,5.0,11187663.02,7008.48,0.0,422897.86,100302.51,43505.0,27101.0,36.0,28.0,115.0,33206509.0,0.0,24945.0,1198703.0,8.0,7.0,1.0,65.0,18.0,7.0,3.0,1976.0,3.0,7.0,6.0,2.0,595368.81,12690.0,5.0,25.6,14.0,15.0,0.0,14.0,21.7,1.0,52.0,22.8,2333843.0,1500.0,2455.92,5346583.84,32650.0,6388.48,606667.0,34089.0,44268.0,81833.83,1011141.0,12011060.64,2041205.0,319.0,578.18,1457.0,71291.0,112194.13,38531.0,312038.54,10.0,44.9,3423755.82,1684.0,57403.0,34248.0,132588.0,305915.67,458369.0,865520.8,26368.0,45050.0,86975.48,25554.0,83245.74,39921.0,340936.98,225647.0,370278.74,17680737.43,230892.06,16357.0,26001.0,78376.61,2000.0,188678.0,1656258.41,0.0,0.0,0.0,0.0,183803.88,87151.41,260242.76,490356.57,24945.0,52634.11,2.0,26.1,9086104.0,77.0,297470.0,112194.13,1276184.0,0.0,1.0,2.0,82.0,595368.81,12.0,230892.06,4523028.81,3212454.09,0.0,52634.11,65983.8,2168.0,9376101.44,209256.66,10.0,1.0,81828.0,22.0,77.0,72.0,1204089.0,13728493.98,44.9,3.0,0.0,4052.74,81.0,2.0,370278.74,69527.0,14.0,257511.91,2944264.48
Mar/15,4.95,573.0,545455.0,126107.12,46668.0,82392.08,1976.0,34248.0,51097.0,86975.48,659723.0,1029.0,5.0,11187663.02,17001.0,132230.0,7008.48,422897.86,43505.0,36.0,115.0,235563.0,24945.0,92210.44,34089.0,4.95,65.0,12.0,62212.72,15272.0,71473.86,32908.79,1976.0,712998.23,34248.0,83912.0,96442.52,2233.0,0.0,26368.0,34069.0,24.0,14019.28,44.0,0.0,270164.29,43791.68,1107.0,44199.0,35.0,59.0,108.0,52566532.0,0.0,43353.0,1011141.0,8.0,3.0,1.0,73.0,20.0,3.0,6.0,2233.0,2.0,9.0,15.0,2.0,370278.74,16357.0,5.0,20.3,14.0,14.0,0.0,12.0,22.8,3.0,58.0,25.3,3097984.0,900.0,1473.55,6339648.34,34089.0,41020.21,503768.0,29195.0,71291.0,112194.13,1276184.0,8805179.86,1185563.0,0.0,0.0,349.52,64676.0,128199.72,40679.0,339246.04,5.0,22.0,1571131.23,101870.0,42629.0,26368.0,85543.0,595368.81,387928.0,686482.52,25554.0,43689.0,85302.97,24182.0,40190.06,41580.0,438266.03,141836.0,230892.06,9898407.67,257511.91,6829753.0,41235.0,183803.88,0.0,137461.0,3212454.09,12.0,54.0,0.0,0.0,52634.11,65983.8,349717.52,799378.13,43353.0,119444.75,1.0,21.1,10538498.0,72.0,297470.0,128199.72,1204089.0,44.9,0.0,2.0,81.0,370278.74,14.0,257511.91,2944264.48,3072300.84,1.0,119444.75,155875.81,105.0,10280540.18,362817.79,11.0,1.0,7768506.0,27.0,72.0,77.25,1414412.0,13846248.63,22.0,6.0,0.0,52.16,81.66666666666667,0.0,230892.06,65717.0,14.0,294683.31,3790163.44
Abr/15,62212.72,635.0,15272.0,71473.86,83912.0,96442.52,2233.0,26368.0,34069.0,85302.97,225647.0,19371.0,24.0,14019.28,0.0,171731.0,44.0,270164.29,1107.0,35.0,108.0,347303.0,43353.0,63346.45,29195.0,62212.72,73.0,5.0,67854.2,57403.0,133720.14,243845.94,2233.0,865520.8,26368.0,45050.0,86975.48,1322.0,249.75,25554.0,39921.0,0.0,18047.94,0.0,0.0,260242.76,89754.32,22510.0,50004.0,45.0,86.0,107.0,46584664.0,0.0,41501.0,1276184.0,7.5,14.0,1.0,71.0,20.0,2.0,2.0,1322.0,2.0,12.0,5.0,0.0,230892.06,6829753.0,6.0,21.7,12.0,11.0,0.0,17.0,25.3,17.0,84.0,26.4,3963593.0,319.0,578.18,7634846.53,29195.0,22339.94,693137.0,192723.0,64676.0,128199.72,1204089.0,13728493.98,522566.0,10.0,44.9,249.75,46668.0,82392.08,51097.0,305915.67,0.0,0.0,4576294.51,17036.0,40055.0,25554.0,4485307.0,370278.74,457138.0,768531.69,24182.0,69527.0,83459.77,26001.0,78376.61,34849.0,237568.95,188678.0,257511.91,12847381.37,294683.31,5041542.0,24945.0,52634.11,2700.0,139512.0,3072300.84,35.0,178.0,64.0,74.75,119444.75,155875.81,251952.59,500402.77,41501.0,116629.73,1.0,23.9,14479992.0,77.25,297470.0,82392.08,1414412.0,22.0,0.0,0.0,81.66666666666667,230892.06,14.0,294683.31,3790163.44,3785921.18,3.0,116629.73,88474.03,2062.0,12011060.64,224233.91,10.0,6.0,153259.0,18.0,77.25,77.0,524732.0,14001819.78,0.0,2.0,1.0,0.0,80.0,3.0,257511.91,27101.0,12.0,238468.01,11325579.42
May/15,67854.2,552.0,57403.0,133720.14,45050.0,86975.48,1322.0,25554.0,39921.0,83459.77,141836.0,552.0,0.0,18047.94,2000.0,76514.0,0.0,260242.76,22510.0,45.0,107.0,213197.0,41501.0,81277.62,192723.0,67854.2,71.0,0.0,8353.69,42629.0,88221.58,51126.03,1322.0,686482.52,25554.0,43689.0,85302.97,1506.0,975.22,24182.0,41580.0,6008.0,4523028.81,54.0,0.0,349717.52,139159.92,551.0,47244.0,121.0,87.0,113.0,27033105.0,400.0,63870.0,1204089.0,9.0,3.0,0.0,65.0,16.0,2.0,2.0,1506.0,0.0,14.0,5.0,3.0,257511.91,5041542.0,8.0,22.8,17.0,12.0,1.0,17.0,26.4,10.0,78.0,21.7,2522715.0,0.0,0.0,9918795.46,192723.0,84238.84,298560.0,186357.0,46668.0,82392.08,1414412.0,13846248.63,483511.0,5.0,22.0,0.0,83912.0,96442.52,34069.0,595368.81,7.0,28.0,2117754.69,17001.0,44103.0,24182.0,70125.0,230892.06,191601.0,548011.7,26001.0,65717.0,100302.51,41235.0,183803.88,41417.0,327530.69,137461.0,294683.31,10189232.19,238468.01,5864290.0,43353.0,119444.75,2000.0,133677.0,3785921.18,447.0,1171.04,10.0,100.56,116629.73,88474.03,327853.0,816854.08,63870.0,186778.65,6.0,22.275,26829076.0,77.0,305414.0,96442.52,524732.0,0.0,1.0,0.0,80.0,257511.91,12.0,238468.01,11325579.42,3523916.39,3.0,186778.65,92561.84,587.0,8805179.86,313793.86,5.0,7.0,3502589.0,20.0,77.0,79.0,1808937.0,11904027.88,28.0,2.0,2.0,0.0,83.0,0.0,294683.31,44199.0,17.0,232682.21,5384668.23
Jun/15,8353.69,523.0,42629.0,88221.58,43689.0,85302.97,1506.0,24182.0,41580.0,100302.51,188678.0,43505.0,6008.0,4523028.81,0.0,60491.0,54.0,349717.52,551.0,121.0,113.0,419606.0,63870.0,99721.73,186357.0,8353.69,65.0,0.0,4052.74,40055.0,83245.74,47084.54,1506.0,768531.69,24182.0,69527.0,83459.77,1646.0,0.0,26001.0,34849.0,0.0,2944264.48,178.0,74.75,251952.59,89954.29,1248.0,22980.0,167.0,97.0,85.0,4093056.0,200.0,45300.0,1414412.0,8.0,6.0,0.0,98.0,25.0,0.0,0.0,1646.0,0.0,14.0,6.0,0.0,294683.31,5864290.0,12.0,25.3,17.0,12.0,3.0,11.0,21.7,13.0,99.0,22.2,4108531.0,10.0,44.9,18269811.44,186357.0,32908.79,415620.0,34248.0,83912.0,96442.52,524732.0,14001819.78,3487390.0,0.0,0.0,0.0,45050.0,86975.48,39921.0,370278.74,18732.0,7008.48,2756566.53,0.0,30769.0,26001.0,60164.0,257511.91,367543.0,749606.91,41235.0,27101.0,43791.68,24945.0,52634.11,29614.0,361519.44,139512.0,238468.01,12014211.99,232682.21,18548714.0,41501.0,116629.73,39953.0,103458.0,3523916.39,229.0,286.11,172.0,165.76,186778.65,92561.84,274937.74,639226.88,45300.0,221603.55,7.0,20.3,13513859.0,79.0,305414.0,86975.48,1808937.0,28.0,2.0,0.0,83.0,294683.31,17.0,232682.21,5384668.23,2239919.99,0.0,221603.55,121769.8,6630.0,13728493.98,342811.55,12.0,3.0,4051446.0,20.0,79.0,82.0,1298093.0,12959686.76,7008.48,0.0,0.0,0.0,81.0,1.0,238468.01,50004.0,17.0,212836.04,17972672.14
Jul/15,4052.74,1029.0,40055.0,83245.74,69527.0,83459.77,1646.0,26001.0,34849.0,43791.68,137461.0,1107.0,0.0,2944264.48,2700.0,71665.0,178.0,251952.59,1248.0,167.0,85.0,362615.0,45300.0,98346.39,34248.0,4052.74,98.0,5.0,52.16,44103.0,40190.06,0.0,1646.0,548011.7,26001.0,65717.0,100302.51,1180.0,35331.62,41235.0,41417.0,0.0,3790163.44,1171.04,100.56,327853.0,62028.74,826.0,52798.0,176.0,98.0,96.0,11604232.0,10.0,33178.0,524732.0,8.0,2.0,1.0,90.0,18.0,0.0,3.0,1180.0,0.0,12.0,8.0,1.0,238468.01,18548714.0,25.0,26.4,11.0,12.0,3.0,20.0,22.2,9.0,95.0,22.5,2936590.0,5.0,22.0,8631309.52,34248.0,243845.94,458369.0,26368.0,45050.0,86975.48,1808937.0,11904027.88,370727.0,7.0,28.0,249.75,43689.0,85302.97,41580.0,230892.06,10.0,44.0,4482450.64,2000.0,24371.0,41235.0,80829.0,294683.31,235563.0,490356.57,24945.0,44199.0,89754.32,43353.0,119444.75,48652.0,350681.69,133677.0,232682.21,9764840.17,212836.04,8238906.0,63870.0,186778.65,529.0,5475.0,2239919.99,169.0,398.44,0.0,0.0,221603.55,121769.8,306142.15,1018063.8,33178.0,125387.42,3.0,23.3,2014330.0,82.0,305414.0,85302.97,1298093.0,7008.48,0.0,0.0,81.0,238468.01,17.0,212836.04,17972672.14,2669189.82,1.0,125387.42,165427.15,1684.0,13846248.63,418859.15,13.0,2.0,189935117.0,16.0,82.0,81.0,1339104.0,17680737.43,44.0,3.0,2.0,0.0,84.0,1.0,232682.21,47244.0,11.0,16929.33,8256298.58
Ago/15,52.16,19371.0,44103.0,40190.06,65717.0,100302.51,1180.0,41235.0,41417.0,89754.32,139512.0,22510.0,0.0,3790163.44,2000.0,55843.0,1171.04,327853.0,826.0,176.0,96.0,545395.0,33178.0,70409.51,26368.0,52.16,90.0,24.0,0.0,30769.0,78376.61,8489.9,1180.0,749606.91,41235.0,27101.0,43791.68,1344.0,0.0,24945.0,29614.0,0.0,11325579.42,286.11,165.76,274937.74,143771.65,159.0,67954.0,188.0,86.0,76.0,136889542.0,230.0,45260.0,1808937.0,25.0,2.0,2.0,81.0,18.0,0.0,0.0,1344.0,0.0,17.0,12.0,1.0,232682.21,8238906.0,15.0,21.7,20.0,12.0,0.0,17.0,22.5,10.0,100.0,21.9,2658460.0,0.0,0.0,1277226.5,26368.0,51126.03,387928.0,25554.0,43689.0,85302.97,1298093.0,12959686.76,872888.0,18732.0,7008.48,975.22,69527.0,83459.77,34849.0,257511.91,0.0,0.0,1582670.81,0.0,15465.0,24945.0,71119.0,238468.01,347303.0,799378.13,43353.0,50004.0,139159.92,41501.0,116629.73,41543.0,441468.15,103458.0,212836.04,9997412.46,16929.33,28478261.0,45300.0,221603.55,0.0,526731.0,2669189.82,119.0,272.58,8.0,16.02,125387.42,165427.15,360855.38,974217.06,45260.0,145118.86,2.0,18.9,17819359.0,81.0,288049.0,83459.77,1339104.0,44.0,2.0,1.0,84.0,232682.21,11.0,16929.33,8256298.58,1870425.56,6.0,145118.86,305490.19,101870.0,14001819.78,489253.85,12.0,2.0,64838046.0,25.0,81.0,81.66666666666667,1440375.0,9898407.67,0.0,0.0,0.0,74.75,85.66666666666667,4.0,212836.04,22980.0,20.0,369083.21,11275992.17
Sep/15,0.0,552.0,30769.0,78376.61,27101.0,43791.68,1344.0,24945.0,29614.0,139159.92,133677.0,551.0,0.0,11325579.42,39953.0,64638.0,286.11,274937.74,159.0,188.0,76.0,436977.0,45260.0,37025.23,25554.0,0.0,81.0,0.0,0.0,24371.0,183803.88,0.0,1344.0,490356.57,24945.0,44199.0,89754.32,1719.0,0.0,43353.0,48652.0,400.0,5384668.23,398.44,0.0,306142.15,252846.56,257.0,28242.0,188.0,92.0,86.0,29598018.0,0.0,60961.0,1298093.0,24.0,0.0,0.0,47.0,21.0,0.0,1.0,1719.0,1.0,17.0,25.0,4.0,212836.04,28478261.0,24.0,22.2,17.0,20.0,1.0,15.0,21.9,13.0,79.0,19.4,2412506.0,7.0,28.0,11187663.02,25554.0,47084.54,457138.0,24182.0,69527.0,83459.77,1339104.0,17680737.43,5614224.0,10.0,44.0,0.0,65717.0,100302.51,41417.0,294683.31,12.0,54.0,1496773.47,2700.0,44547.0,43353.0,99205.0,232682.21,213197.0,500402.77,41501.0,47244.0,89954.29,63870.0,186778.65,45951.0,268627.52,5475.0,16929.33,11617054.93,369083.21,13230916.0,33178.0,125387.42,0.0,547240.0,1870425.56,197.0,245.11,187738.0,62650.69,145118.86,305490.19,402245.56,611353.41,60961.0,292479.98,2.0,27.5,12690.0,81.66666666666667,288049.0,100302.51,1440375.0,0.0,0.0,3.0,85.66666666666667,212836.04,20.0,369083.21,11275992.17,2107147.01,17.0,292479.98,183115.55,17036.0,11904027.88,587647.93,11.0,0.0,7877520.0,18.0,81.66666666666667,80.0,883962.0,12847381.37,54.0,1.0,0.0,100.56,78.0,3.0,16929.33,52798.0,17.0,373244.41,11247431.93
